1.479969373023845e-19,2.564889680839154e-19,3.618698491807248e-19,4.186447003746841e-19,4.259135301590547e-19,3.9292781948483325e-19,3.5164241849927635e-19,3.1582662424906204e-19,2.8471485409862445e-19,2.575594062128221e-19,2.337507965463326e-19,2.127888416573595e-19,1.9426045487897228e-19,1.7782245195141364e-19,1.6318812954294008e-19,1.5011671018770065e-19,1.3840498285986857e-19,1.2788063839349715e-19,1.183969227325488e-19,1.098283219314311e-19,1.0206706020371885e-19,9.502024264047895e-20,8.860751209250102e-20,8.2759118419335e-20,7.74143202194973e-20,7.252005598894864e-20,6.802983466682555e-20,6.39028056452662e-20,6.010297623237134e-20,5.659855077818554e-20,5.3361370589949946e-20,5.036643766765336e-20,4.7591508406910805e-20,4.501674591417169e-20,4.262442159053151e-20,4.0398658266634166e-20,3.8325208491360274e-20,3.6391262652985385e-20,3.458528249163951e-20,3.289685628460523e-20,3.1316572581322997e-20,2.983590985716206e-20,2.844713986320379e-20,2.714324278883237e-20,2.591783263734514e-20,2.4765091451924762e-20,2.3679711228383362e-20,2.2656842518639518e-20,2.1692048870208433e-20,2.078126636667783e-20,1.9920767635506612e-20,1.9107129775812074e-20,1.8337205732296573e-20,1.7608098192166568e-20,1.6917137258775684e-20,1.6261861467613823e-20,1.563999649558617e-20,1.5049439733657135e-20,1.4488245384734496e-20,1.3954610987010664e-20,1.3446865244910768e-20,1.2963457026634528e-20,1.2502945403959606e-20,1.2063990624530951e-20,1.1645345919563833e-20,1.1245850060975231e-20,1.0864420591695752e-20,1.0500047661425324e-20,1.015178840759e-20,9.818761827848928e-21,9.50014409629246e-21,9.19516428060735e-21,8.903100421997475e-21,8.623275943656152e-21,8.355056357136027e-21,8.097846239098557e-21,7.851086453731703e-21,7.614251598600045e-21,7.38684765390812e-21,7.16840981713723e-21
0,5.862529668269189e-22,1.7087712232386583e-20,7.206505053206909e-20,1.6593414474268388e-19,2.8583013166877715e-19,3.7208816112582954e-19,4.0035182576313158e-19,3.791962130224109e-19,3.4339873526335565e-19,3.1165519862429526e-19,2.8370704909496724e-19,2.59003526596119e-19,2.3708707051097535e-19,2.175754250991456e-19,2.001475666462606e-19,1.8453255801091843e-19,1.7050066287507726e-19,1.5785621703070413e-19,1.464318752784598e-19,1.3608394234704893e-19,1.2668856333748314e-19,1.1813859969165658e-19,1.1034105496122674e-19,1.0321494386689717e-19,9.668952058095306e-20,9.070279951437504e-20,8.520031537979213e-20,8.013407985071041e-20,7.546170043158049e-20,7.114563370815772e-20,6.715255035376676e-20,6.34527934215859e-20,6.001991478356192e-20,5.683027725815556e-20,5.3862712137313706e-20,5.109822358327194e-20,4.851973280038432e-20,4.611185606066071e-20,4.3860711625260104e-20,4.175375139793294e-20,3.9779613802630684e-20,3.7927994921731015e-20,3.618953538403992e-20,3.455572086960561e-20,3.301879441454053e-20,3.1571678964460655e-20,3.0207908848543176e-20,2.8921569034622375e-20,2.770724118532626e-20,2.6559955670404114e-20,2.547514880549538e-20,2.444862468556631e-20,2.34765203822013e-20,2.2555276176323775e-20,2.1681610247199282e-20,2.0852490285948777e-20,2.0065112926567532e-20,1.9316883877236145e-20,1.860539995216463e-20,1.7928432846842198e-20,1.7283914468682852e-20,1.6669923657297095e-20,1.6084674148028343e-20,1.552650364932942e-20,1.4993863919336732e-20,1.4485311739982374e-20,1.3999500698332128e-20,1.3535173694829137e-20,1.3091156106911311e-20,1.2666349544193263e-20,1.225972613824947e-20,1.1870323316052045e-20,1.1497239011459659e-20,1.1139627273887303e-20,1.0796694237467652e-20,1.0467694417756867e-20,1.0151927306338353e-20,9.848734236633187e-21,9.557495496865303e-21
0,0,0,0,0,5.545817971499779e-21,4.587263257778258e-20,1.3278208018965108e-19,2.547597657213769e-19,3.470106938709664e-19,3.7585646776365123e-19,3.5454969323644265e-19,3.2374131884143366e-19,2.963468563390028e-19,2.7195828564497413e-19,2.501743433401385e-19,2.3065637169024275e-19,2.1311721190804554e-19,1.973122936218951e-19,1.8303244378983393e-19,1.7009805058474983e-19,1.5835430164223054e-19,1.4766727917916381e-19,1.3792074233493444e-19,1.2901346360321932e-19,1.2085701427469576e-19,1.1337391549568938e-19,1.0649608840952867e-19,1.0016355003330863e-19,9.432331189000546e-20,8.892844660916548e-20,8.393729421682708e-20,7.931278502825251e-20,7.50218602199989e-20,7.103497450970733e-20,6.732566808212614e-20,6.387019710005288e-20,6.064721393205063e-20,5.763748969558759e-20,5.482367291866163e-20,5.219007911511085e-20,4.972250688906076e-20,4.740807686421823e-20,4.523509029959043e-20,4.3192904725530494e-20,4.127182432919696e-20,3.946300315026674e-20,3.775835942697052e-20,3.615049966803239e-20,3.4632651225566824e-20,3.3198602312913395e-20,3.184264855525882e-20,3.0559545283361673e-20,2.93444640319254e-20,2.8192955332003754e-20,2.7100917073533842e-20,2.6064559023662334e-20,2.508037711655857e-20,2.4145128618557443e-20,2.3255809668872595e-20,2.240963499947859e-20,2.1604019599159265e-20,2.08365621145185e-20,2.010502980500899e-20,1.9407344890204906e-20,1.8741572146021112e-20,1.8105907622809432e-20,1.749866837244651e-20,1.6918283084016995e-20,1.6363283538680832e-20,1.5832296803966238e-20,1.5324038096287272e-20,1.4837304248005144e-20,1.4370967722031418e-20,1.3923971122887094e-20,1.3495322158358055e-20,1.3084089010564466e-20,1.268939607938755e-20,1.2310420064891062e-20,1.1946386358673624e-20
0,0,0,0,0,0,0,0,4.6801564345649054e-21,4.559499850671265e-20,1.3896695765123812e-19,2.6295697298834037e-19,3.409592303709772e-19,3.520961439513879e-19,3.2633671142819553e-19,3.0019704049725773e-19,2.7677642410798314e-19,2.5573028568656414e-19,2.367651526858847e-19,2.1963002763230675e-19,2.0410938507179084e-19,1.900174576989911e-19,1.7719355068955636e-19,1.65498180666112e-19,1.5480987954600253e-19,1.450225371802845e-19,1.3604318271405883e-19,1.2779012483149994e-19,1.2019138687142088e-19,1.131833852393945e-19,1.067098093739923e-19,1.0072066933330609e-19,9.517148329916923e-20,9.002258229183186e-20,8.523851340990384e-20,8.07875261624091e-20,7.66411290998926e-20,7.277370610323744e-20,6.91621834489313e-20,6.578574021475741e-20,6.262555578040492e-20,5.966458916175239e-20,5.688738573385697e-20,5.427990757669572e-20,5.18293842444711e-20,4.95241812334951e-20,4.7353683821754764e-20,4.530819428832167e-20,4.33788408033737e-20,4.1557496518951915e-20,3.983670759328034e-20,3.8209629054112926e-20,3.6669967553524216e-20,3.5211929168073405e-20,3.383017475150105e-20,3.251978197130803e-20,3.1276202732473196e-20,3.009523232647995e-20,2.897297963069602e-20,2.7905840158321973e-20,2.6890471723236444e-20,2.5923772437746317e-20,2.5002860794607148e-20,2.4125057613789745e-20,2.3287869659871515e-20,2.2488974758103044e-20,2.172620825667247e-20,2.0997550699710772e-20,2.0301116590567125e-20,1.9635144138065398e-20,1.8997985890035537e-20,1.8388100168681846e-20,1.7804043231374425e-20,1.724446208846422e-20,1.6708087916820955e-20,1.6193730014064806e-20,1.5700270244074867e-20,1.5226657929308426e-20,1.4771905149897254e-20,1.433508241344605e-20
0,0,0,0,0,0,0,0,0,0,1.2983218135378083e-23,9.91210283648427e-21,6.705209135921635e-20,1.7934153541255808e-19,2.9200011259565237e-19,3.364442566917345e-19,3.227875380709064e-19,2.983398844048142e-19,2.762147944024537e-19,2.562246269726479e-19,2.381179459631564e-19,2.2167803165204903e-19,2.0671741435738083e-19,1.9307337008042548e-19,1.8060419181279706e-19,1.6918608940783788e-19,1.5871060127278367e-19,1.490824247427395e-19,1.4021759045631083e-19,1.3204192056569004e-19,1.2448972208366502e-19,1.1750267577968304e-19,1.1102888830660165e-19,1.0502208106741681e-19,9.944089402346844e-20,9.424828643950617e-20,8.941101964098623e-20,8.489920936920332e-20,8.06859373732081e-20,7.674691356349989e-20,7.306018144136802e-20,6.960586066601013e-20,6.636592157384296e-20,6.332398725657161e-20,6.046515946578249e-20,5.777586516503966e-20,5.524372101488129e-20,5.2857413467e-20,5.060659247358474e-20,4.848177709703698e-20,4.6474271541753755e-20,4.457609033107103e-20,4.277989152389819e-20,4.107891581738244e-20,3.946693446050362e-20,3.7938204965214797e-20,3.648742143613e-20,3.5109678579183575e-20,3.380043693565165e-20,3.2555491441702215e-20,3.137094303853423e-20,3.024317300412842e-20,2.916881971654822e-20,2.8144757592689255e-20,2.71680779760122e-20,2.6236071772658844e-20,2.5346213658068634e-20,2.4496147696068785e-20,2.368367422989456e-20,2.290673791997437e-20,2.216341681682671e-20,2.145191236939565e-20,2.0770540279678862e-20,2.0117722123852136e-20,1.9491977668375672e-20,1.8891917816884115e-20,1.8316238130209602e-20,1.7763712867662884e-20,1.7233189502868377e-20,1.6723583672067498e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,1.2164625827326246e-21,2.9840299827638754e-20,1.1905919359367446e-19,2.43896586035187e-19,3.1447545799156055e-19,3.152036982413439e-19,2.9281624197768813e-19,2.721237334138877e-19,2.5333602364574133e-19,2.3623887031723325e-19,2.2064631070358714e-19,2.063964005211964e-19,1.933476710675149e-19,1.8137617127520228e-19,1.7037298824031681e-19,1.6024216087927586e-19,1.508989179548661e-19,1.422681848192404e-19,1.342833136324653e-19,1.2688500012284203e-19,1.2002035661513487e-19,1.1364211641514817e-19,1.0770794897478351e-19,1.0217986878155035e-19,9.702372378522711e-20,9.220875152095348e-20,8.770719301485986e-20,8.349395614557048e-20,7.954632144715512e-20,7.584368442738784e-20,7.23673293804491e-20,6.910023042883422e-20,6.60268761614492e-20,6.313311476561618e-20,6.040601699742161e-20,5.783375471161605e-20,5.540549299138905e-20,5.311129418859357e-20,5.094203241515715e-20,4.888931722233806e-20,4.694542400659945e-20,4.510323448470881e-20,4.3356186079956104e-20,4.1698215158390155e-20,4.012371589752979e-20,3.8627500555432185e-20,3.72047635402106e-20,3.5851048965797924e-20,3.4562221317997284e-20,3.333443889933386e-20,3.2164129760032886e-20,3.1047969856316404e-20,2.998286320677114e-20,2.896592384350115e-20,2.799445937747027e-20,2.706595601742003e-20,2.6178064899322595e-20,2.5328589598770625e-20,2.451547471239627e-20,2.3736795406442384e-20,2.2990747841294042e-20,2.2275640390242696e-20,2.1589885579116738e-20,2.093199268089459e-20,2.0300560906017087e-20,1.9694273135025156e-20,1.9111890145426892e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.696952327565337e-23,1.3081881622866074e-20,8.27374608423243e-20,2.058381943086876e-19,2.9355374333119155e-19,3.049485875734604e-19,2.849914338243062e-19,2.657579187036175e-19,2.482170026612231e-19,2.321865057887133e-19,2.1750728226939896e-19,2.0403989282458202e-19,1.9166181542123436e-19,1.802650982315505e-19,1.6975437749283769e-19,1.6004519766171946e-19,1.5106258296810763e-19,1.4273981882013285e-19,1.350174090033201e-19,1.278421806496458e-19,1.2116651382956515e-19,1.1494767657976152e-19,1.0914724940654976e-19,1.03730625944667e-19,9.866657861877383e-20,9.392687994054993e-20,8.948597155047747e-20,8.532067433767353e-20,8.140993398953082e-20,7.773459717296886e-20,7.427721426031637e-20,7.102186510990455e-20,6.795400491397897e-20,6.506032755039555e-20,6.232864423355353e-20,5.974777556403897e-20,5.730745533537537e-20,5.499824467667921e-20,5.281145376245306e-20,5.073907484979638e-20,4.877372534021704e-20,4.69085839229947e-20,4.51373443043632e-20,4.3454170512030376e-20,4.1853656475029815e-20,4.033078952543951e-20,3.8880917399031054e-20,3.7499718361943206e-20,3.6183174134133463e-20,3.492754531846144e-20,3.372934907751081e-20,3.25853388294619e-20,3.1492485759854e-20,3.044796196855366e-20,2.944912509101467e-20,2.8493504250288226e-20,2.757878721164171e-20,2.6702808625179663e-20,2.5863539253879835e-20,2.5059076095104763e-20,2.4287633313054975e-20,2.354753390804756e-20,2.283720205592925e-20,2.215515605758062e-20,2.150000184440567e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.739462462843407e-21,6.338691618933082e-20,1.825108627277526e-19,2.7783150344332254e-19,2.9389793241874216e-19,2.7578544607897544e-19,2.579745077328756e-19,2.4166492312358755e-19,2.267017660242034e-19,2.1294890638250725e-19,2.0028640260438113e-19,1.8860829926553076e-19,1.7782076069211364e-19,1.6784048386307476e-19,1.5859334447072595e-19,1.5001323830031547e-19,1.420410867916722e-19,1.3462398106518292e-19,1.277144430938038e-19,1.212697862884192e-19,1.1525156069685481e-19,1.0962507042518467e-19,1.043589528738502e-19,9.942481102127302e-20,9.479689134788756e-20,9.04518011250248e-20,8.636825973753396e-20,8.252687949923876e-20,7.890997208369612e-20,7.550137725106887e-20,7.228631102285535e-20,6.925123085507977e-20,6.638371569833296e-20,6.367235912073347e-20,6.110667391476053e-20,5.867700511167525e-20,5.637445558144934e-20,5.419082277068576e-20,5.2118527753687755e-20,5.0150563822531344e-20,4.8280446827441764e-20,4.6502170267345274e-20,4.4810164737873543e-20,4.319926126691042e-20,4.1664658123357774e-20,4.0201890733306093e-20,3.880680438012686e-20,3.7475529401950917e-20,3.6204458632444847e-20,3.49902268591608e-20,3.3829692098707543e-20,3.271991850995711e-20,3.16581607858023e-20,3.0641849881091755e-20,2.966857994940707e-20,2.873609637470108e-20,2.7842284795646246e-20,2.69851610309927e-20,2.6162861823587757e-20,2.5373636328959074e-20,2.4615838281749224e-20,2.388791877988667e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.568148980937622e-21,5.567775835614356e-20,1.7319264904734296e-19,2.684312830407876e-19,2.8285290738531016e-19,2.6582059374031264e-19,2.493617909774733e-19,2.3423426122126915e-19,2.203060740891255e-19,2.0746068335897635e-19,1.9559487399153334e-19,1.8461701639392463e-19,1.7444557714696153e-19,1.6500784457454736e-19,1.5623883490601743e-19,1.480803507430437e-19,1.4048016838193226e-19,1.3339133448615093e-19,1.2677155583008727e-19,1.2058266848409632e-19,1.1479017499307308e-19,1.09362839904893e-19,1.0427233550127015e-19,9.949293082818928e-20,9.500121816192517e-20,9.077587191585976e-20,8.67974357229846e-20,8.304813404313024e-20,7.951170516196783e-20,7.61732528875558e-20,7.301911462175557e-20,7.003674380027471e-20,6.721460496445499e-20,6.454207808103073e-20,6.20093767053821e-20,5.960747839608069e-20,5.732804667424247e-20,5.51633744749097e-20,5.3106329523688805e-20,5.115030493836829e-20,4.9289174623539553e-20,4.75172529413401e-20,4.582925820258235e-20,4.422027957588832e-20,4.268574705901386e-20,4.122140419718539e-20,3.982328326896418e-20,3.8487682691350947e-20,3.7211146423312606e-20,3.599044517107464e-20,3.482255921975327e-20,3.3704662734723245e-20,3.263410939265751e-20,3.160841921686532e-20,3.0625266504567e-20,2.9682468745238805e-20,2.8777976439449003e-20,2.790986373668038e-20,2.7076319818759137e-20,2.627564096276603e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.480055167339078e-21,5.691819373223792e-20,1.7610088558819584e-19,2.6410003825785966e-19,2.715416004013634e-19,2.5551788003440095e-19,2.4032411277690376e-19,2.263115298589817e-19,2.1336753764087797e-19,2.0139218063701615e-19,1.9029651692099132e-19,1.8000122789426413e-19,1.7043542505730292e-19,1.6153562292439456e-19,1.5324485250225052e-19,1.4551189405491653e-19,1.3829061139679797e-19,1.3153937284538258e-19,1.252205463456966e-19,1.193000582465706e-19,1.1374700684094906e-19,1.085333231401752e-19,1.0363347248543566e-19,9.902419154772494e-20,9.468425606366994e-20,9.059427532451235e-20,8.673651000061959e-20,8.309471036248737e-20,7.965397236450795e-20,7.640060940296675e-20,7.332203785356299e-20,7.040667269721454e-20,6.764383824724217e-20,6.502369224105586e-20,6.253714070837009e-20,6.017577628431425e-20,5.793181862273665e-20,5.579806050925498e-20,5.3767819202823866e-20,5.183489244197354e-20,4.99935186185722e-20,4.8238340680169945e-20,4.656437337277755e-20,4.49669734802637e-20,4.3441812755491067e-20,4.198485327234323e-20,4.059232495775966e-20,3.9260705089253166e-20,3.7986699566543996e-20,3.676722578647666e-20,3.559939696842867e-20,3.448050779344605e-20,3.340802123453385e-20,3.237955646807018e-20,3.1392877767534067e-20,3.044588429063689e-20,2.953660067980931e-20,2.8663168403911523e-20
