9.796779419909209e-20,1.5183078033731444e-19,2.139507480066009e-19,2.6655820172655387e-19,2.9918485480380837e-19,3.1202139792420115e-19,3.069434101469568e-19,2.871740320645338e-19,2.6476700478063066e-19,2.4455234865942875e-19,2.263602746848125e-19,2.099054521651892e-19,1.9503409403495372e-19,1.8151021271835934e-19,1.692296918485771e-19,1.580169015068262e-19,1.4778248817794888e-19,1.3841065396942271e-19,1.298110616325217e-19,1.2191731549399965e-19,1.1464101766394706e-19,1.0794275586442065e-19,1.0174699169869343e-19,9.602411249781373e-20,9.071737168811276e-20,8.579692010663173e-20,8.122633196935121e-20,7.697202260769073e-20,7.301385026645773e-20,6.931783997652424e-20,6.587174628922966e-20,6.264638111079549e-20,5.963123106207915e-20,5.68047532901818e-20,5.415446584121243e-20,5.166737946303298e-20,4.932852163810752e-20,4.713101171390485e-20,4.5059736506589765e-20,4.311030758912911e-20,4.126991316350592e-20,3.953405796824036e-20,3.7893647959457593e-20,3.6342556655335974e-20,3.487574923245463e-20,3.348569284555757e-20,3.2169851345736645e-20,3.09207717748944e-20,2.9736671529982465e-20,2.861140781834984e-20,2.7542713440832554e-20,2.6526484615057357e-20,2.5559341014010006e-20,2.4639230372830085e-20,2.376203010913301e-20,2.2926760250554213e-20,2.2129461705189787e-20,2.1369308337301195e-20,2.0643171497506998e-20,1.9949730441326526e-20,1.928707273117774e-20,1.8653160488768128e-20,1.8047144963512395e-20,1.7466626559687702e-20,1.6911215054846725e-20,1.63786908969423e-20,1.5868608962175475e-20,1.537931258005759e-20,1.4909941561813177e-20,1.445960328809912e-20,1.402698829301691e-20,1.361175520054219e-20,1.3212442078986092e-20,1.2828887794360523e-20,1.2459799510102618e-20,1.2104895860454216e-20,1.1763280169449766e-20,1.1434355174660015e-20,1.1117706677187189e-20,1.0812463334834945e-20,1.0518498889483559e-20,1.0234892101755271e-20,9.961569778190914e-21,9.697759653626928e-21,9.44325693333436e-21,9.197575642909825e-21,8.960281803046227e-21,8.731190911995133e-21,8.509708554444507e-21,8.295797964022734e-21,8.088864299968008e-21,7.88886584389652e-21,7.695335255018836e-21,7.508107522686884e-21,7.326926436436827e-21,7.151465720383717e-21,6.981652293733173e-21,6.817073108221859e-21,6.657725847185842e-21,6.503220070524267e-21,6.3535231567148364e-21,6.208351712596569e-21,6.067566892530165e-21,5.931040260041947e-21,5.798522622426926e-21,5.669993670480104e-21,5.5451625499874865e-21,5.424037314654637e-21,5.306359373784119e-21,5.192096861524365e-21
0,0,1.3780715204117801e-21,1.3092879061023119e-20,4.0139435594848524e-20,8.262459028270759e-20,1.3940593085459642e-19,2.0476739110858858e-19,2.5618637338267596e-19,2.8480184630977986e-19,2.915467609170704e-19,2.7945435390148086e-19,2.6003500400018906e-19,2.4200388718617986e-19,2.256305176514875e-19,2.106807315856322e-19,1.9703539575815758e-19,1.8454011918632676e-19,1.7307445704765844e-19,1.6254988533693388e-19,1.5284854493946887e-19,1.4391788826401598e-19,1.356572014974737e-19,1.280270026686133e-19,1.2095163272108377e-19,1.1439129437099078e-19,1.0829742185889576e-19,1.026252374269822e-19,9.73478864813496e-20,9.242007088437327e-20,8.782546402758405e-20,8.352515001722499e-20,7.950511157800415e-20,7.573662606085117e-20,7.220305152966748e-20,6.888706967788519e-20,6.576871795138465e-20,6.283882251562515e-20,6.007723326896175e-20,5.747809921058977e-20,5.502433862992391e-20,5.270995808595741e-20,5.052283267433923e-20,4.8454794081047755e-20,4.649912947807787e-20,4.4645795475549645e-20,4.289141067753467e-20,4.1226038206082035e-20,3.964730135268286e-20,3.8147010056417416e-20,3.6722141506599244e-20,3.53672242133787e-20,3.4077751255271015e-20,3.285098638913967e-20,3.1681433059461036e-20,3.056778468894664e-20,2.950476270061662e-20,2.8491265624437506e-20,2.752312209561055e-20,2.659857119229276e-20,2.5715063100223404e-20,2.4869880757585356e-20,2.4061892542428424e-20,2.3287899122418058e-20,2.2547380221875516e-20,2.1837376557049315e-20,2.115729465340152e-20,2.05049257057523e-20,1.9879122841844384e-20,1.927869595040208e-20,1.8701899147087358e-20,1.814827728216705e-20,1.7615881191755504e-20,1.7104496039172766e-20,1.661239811163695e-20,1.6139212269886302e-20,1.568374299403267e-20,1.524519396618636e-20,1.482301294335328e-20,1.4416038182646205e-20,1.4024101346673506e-20,1.3645974165647453e-20,1.3281559052212671e-20,1.2929826360881313e-20,1.259050304299272e-20,1.2262941158726136e-20,1.1946562092268699e-20,1.1641119851179296e-20,1.1345821913571902e-20,1.106061925958854e-20,1.0784718800099645e-20,1.0518064912829759e-20,1.0260034501777888e-20,1.0010407561591935e-20,9.768842492054152e-21,9.534904276141143e-21,9.308495476711206e-21,9.089065384887813e-21,8.876610911909902e-21,8.670611491905704e-21,8.471023631260812e-21,8.27746948761841e-21,8.089763940902193e-21,7.907735749365364e-21,7.731052669425805e-21,7.55968762323218e-21,7.393252820756933e-21,7.231758999842438e-21,7.07486138675375e-21,6.922517495396931e-21
0,0,0,0,0,0,6.519238595012017e-24,2.894511992759244e-21,1.9613989889317105e-20,5.452901844443349e-20,1.0715649117382741e-19,1.735845131518327e-19,2.313433754516052e-19,2.6496612034581e-19,2.7400089992018812e-19,2.6309589609510883e-19,2.4628428701150206e-19,2.3066582277737986e-19,2.1633432455051989e-19,2.0317914179818485e-19,1.9105295658333047e-19,1.7989008707252398e-19,1.6956464608921786e-19,1.6002728316469841e-19,1.5118342830215006e-19,1.4298333690796217e-19,1.353663042372311e-19,1.2827636035564437e-19,1.216799383779917e-19,1.1552041792149914e-19,1.097773915506871e-19,1.0440221636507323e-19,9.937737147894141e-20,9.466695503252605e-20,9.025016544674651e-20,8.610535571361779e-20,8.220757364934887e-20,7.854535242438705e-20,7.509350543001283e-20,7.184471921091569e-20,6.877764249213178e-20,6.588478377529646e-20,6.315098754273392e-20,6.056604381472369e-20,5.812156189550929e-20,5.580498805530912e-20,5.3612095720100104e-20,5.153046429462912e-20,4.955712301337306e-20,4.768183471408788e-20,4.5900821036180964e-20,4.420724289385594e-20,4.2595466863025615e-20,4.1062072778052376e-20,3.960019022231414e-20,3.820818604023153e-20,3.6879462277346054e-20,3.561264215178148e-20,3.440251166834993e-20,3.3246869763740325e-20,3.214252929898815e-20,3.1086094084135614e-20,3.0076149648934405e-20,2.9108696989652724e-20,2.8183085787985626e-20,2.729561708879869e-20,2.644554907891226e-20,2.563012086347914e-20,2.4847898910137867e-20,2.409739563993913e-20,2.337642878569311e-20,2.2684429433235486e-20,2.2018961226215167e-20,2.1379755629639542e-20,2.0764658089643466e-20,2.0173199701108365e-20,1.960388612459269e-20,1.9055722002978297e-20,1.852801706043156e-20,1.8019319177055098e-20,1.752941793961673e-20,1.705677807295554e-20,1.660127759780913e-20,1.6161629509353462e-20,1.573749251056192e-20,1.5328056709403844e-20,1.4932598865354988e-20,1.4550811500295807e-20,1.41817040019209e-20,1.3825215097885125e-20,1.3480353466857316e-20,1.314704958380416e-20,1.2824524610214162e-20,1.2512503550515727e-20,1.2210559421700314e-20,1.1918148474473373e-20,1.1635148917332009e-20,1.1360872392012033e-20,1.1095315037718235e-20,1.0837826173419005e-20,1.0588351434294407e-20,1.0346418536493646e-20,1.0111796089276855e-20,9.884270049114677e-21,9.66342512832024e-21,9.449227480947827e-21,9.241192389060945e-21,9.039333274419903e-21,8.843219187280034e-21,8.65279702217106e-21
0,0,0,0,0,0,0,0,0,0,0,1.4651873353594025e-21,1.567099210280119e-20,4.985430301612268e-20,1.0440368892458909e-19,1.7257366332184104e-19,2.269306569177505e-19,2.5476831469758072e-19,2.5720271522633994e-19,2.4380508506286064e-19,2.292542527695922e-19,2.1585935245383505e-19,2.0346932562840937e-19,1.9202495413186322e-19,1.8141275856904857e-19,1.7157304784781211e-19,1.624329792276839e-19,1.5392539151054447e-19,1.460100060672416e-19,1.3861888119314783e-19,1.3172752895855244e-19,1.2527758024945674e-19,1.192480108554296e-19,1.1359574029145352e-19,1.082958076746727e-19,1.0332223764867777e-19,9.864508880689611e-20,9.425060151174991e-20,9.01085530581576e-20,8.621016765556163e-20,8.252982481278996e-20,7.905853509628238e-20,7.577811262217589e-20,7.267630591154301e-20,6.974304653770105e-20,6.696327063567758e-20,6.433190652227671e-20,6.18340500874829e-20,5.946613655720248e-20,5.721588183480215e-20,5.507875207139604e-20,5.304654069676445e-20,5.111248787608079e-20,4.9272489576978186e-20,4.7518301633770434e-20,4.584796433921877e-20,4.425356046897744e-20,4.273343795177832e-20,4.128134024706784e-20,3.9894626185959096e-20,3.8569471356755716e-20,3.7301800496740173e-20,3.6089916310431464e-20,3.492902018791144e-20,3.381833177885349e-20,3.275341251705834e-20,3.173337226280114e-20,3.075489807658867e-20,2.9816269789331526e-20,2.8915702378664414e-20,2.805057723013144e-20,2.7220211674414335e-20,2.642168220242566e-20,2.5654666585239067e-20,2.4916579463039992e-20,2.420685817249937e-20,2.3523709578990135e-20,2.2865939302396704e-20,2.2232719045302146e-20,2.1622306334478284e-20,2.1034448684283556e-20,2.0467303839219258e-20,1.9920725430105037e-20,1.9393169113767573e-20,1.8884225350379738e-20,1.8392922308907705e-20,1.7918392135909558e-20,1.7460265872601316e-20,1.7017354832411862e-20,1.658958549150807e-20,1.6175768312522415e-20,1.5775819868797458e-20,1.5388805592011542e-20,1.5014395500857888e-20,1.4652077236499853e-20,1.430119832623854e-20,1.3961612626195885e-20,1.3632494139944953e-20,1.3313838234719318e-20,1.3004864124938062e-20,1.270550657546223e-20,1.241519886864847e-20,1.2133663346866589e-20,1.186064316829504e-20,1.1595640007914188e-20,1.133861325223585e-20,1.1088981263318796e-20,1.0846760146622392e-20,1.0611432783419657e-20,1.0382935449729952e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.757077839171187e-24,2.715773925398334e-21,2.182722599089046e-20,6.334114149866015e-20,1.2603476842543964e-19,1.9174642937740995e-19,2.331750480235466e-19,2.4591493779459463e-19,2.3726606286615162e-19,2.240200157159162e-19,2.1163962365952963e-19,2.001604273208196e-19,1.894974469535928e-19,1.7957233100856131e-19,1.703380896599676e-19,1.6171546080457532e-19,1.5367587635120342e-19,1.4615124176550142e-19,1.391170297980161e-19,1.3252298192388917e-19,1.2633997829567724e-19,1.2053771556151985e-19,1.1508126349892957e-19,1.0995456984928016e-19,1.051223762218173e-19,1.0057444460998863e-19,9.628088565456504e-20,9.223121210894597e-20,8.840420797020499e-20,8.478558042669026e-20,8.13635834576104e-20,7.81206432675016e-20,7.505084313291301e-20,7.213679563159526e-20,6.937434202932497e-20,6.674915146200543e-20,6.425593465406688e-20,6.188511766238356e-20,5.962881433324728e-20,5.748223682333068e-20,5.54357673299115e-20,5.348711962072165e-20,5.162705730911341e-20,4.985365305687639e-20,4.8159607863110015e-20,4.654184048924184e-20,4.499588930281264e-20,4.351700002372303e-20,4.2103192554323414e-20,4.0748868743716495e-20,3.945311822015805e-20,3.8210762866698574e-20,3.7020764229163957e-20,3.5879257368433696e-20,3.478423550206546e-20,3.37336161885342e-20,3.272434450170174e-20,3.175562402637246e-20,3.0824044140449484e-20,2.992922892545145e-20,2.9068162250746194e-20,2.8240187702440086e-20,2.744321337508701e-20,2.6675845881804162e-20,2.5937118914846788e-20,2.522499967133402e-20,2.4539193596645874e-20,2.387755147997983e-20,2.3239902564226595e-20,2.2624445188849266e-20,2.2030701576785337e-20,2.1457537971203835e-20,2.090394191753822e-20,2.036948298135375e-20,1.9852774417966412e-20,1.9353730453054183e-20,1.8870963349377523e-20,1.8404375779788542e-20,1.7952877458855065e-20,1.751608342401914e-20,1.709339594757838e-20,1.6684053842295825e-20,1.6287886613904164e-20,1.5903930639037987e-20,1.5532180513022614e-20,1.5171725356337735e-20,1.482248906441183e-20,1.4483810493509995e-20,1.4155365722884737e-20,1.383685511591247e-20,1.3527697317012439e-20,1.3227844945705881e-20,1.2936619451950566e-20,1.265403962468607e-20,1.2379502183230098e-20,1.2112932785957586e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.189852330767266e-22,9.88304439741361e-21,4.176131944097902e-20,9.815260693257533e-20,1.6722477000090524e-19,2.1558257438907675e-19,2.343541839365795e-19,2.2869409813220426e-19,2.165597075383418e-19,2.0521717896661626e-19,1.9466418926707885e-19,1.848101568610764e-19,1.7562243382870026e-19,1.6702320100836793e-19,1.589844283972816e-19,1.5144868001612023e-19,1.4438267739202158e-19,1.3775178953062751e-19,1.3151609780038003e-19,1.2565725750857048e-19,1.2013497498943833e-19,1.1493755013968196e-19,1.1003082508014664e-19,1.0540281487333996e-19,1.0102927364438224e-19,9.689386741537036e-20,9.298317270821416e-20,8.927710600164642e-20,8.576890560087548e-20,8.243870097393529e-20,7.928173947491098e-20,7.628164363915887e-20,7.343236882603129e-20,7.072297383100738e-20,6.814444627335008e-20,6.569131455453717e-20,6.335258734683225e-20,6.112565191956626e-20,5.899995283136891e-20,5.697328749953597e-20,5.503731454783377e-20,5.31885127038925e-20,5.142178316645634e-20,4.973169269341861e-20,4.811597840802413e-20,4.656824268359997e-20,4.508744513758771e-20,4.366766816259887e-20,4.230772500210536e-20,4.100319876237561e-20,3.9751796070988066e-20,3.8551137091512835e-20,3.739773062171121e-20,3.6290666509786315e-20,3.522604706035654e-20,3.4203442669763926e-20,3.321940647168866e-20,3.2273188309318e-20,3.1362397530751925e-20,3.0485441758569616e-20,2.964121668595345e-20,2.88273992040466e-20,2.804365269268143e-20,2.7287521010784224e-20,2.6558809015305572e-20,2.5855457749329564e-20,2.5176921204123182e-20,2.4521903710263488e-20,2.3889248223851757e-20,2.327846283981592e-20,2.2687962771510925e-20,2.21176499951249e-20,2.1565938589709745e-20,2.103271732876072e-20,2.051674022243406e-20,2.001756733140442e-20,1.953451556606561e-20,1.9066715033508412e-20,1.8613970891062085e-20,1.8175181899646382e-20,1.7750341882741315e-20,1.7338409877496508e-20,1.6939298910794297e-20,1.6552253420508795e-20,1.617690322654801e-20,1.581290590097631e-20,1.545959706442304e-20,1.511692256997073e-20,1.478410696337944e-20,1.4461171716850126e-20,1.4147427394771793e-20,1.384278903874083e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.696952327564998e-23,5.3560306698192724e-21,3.258971420325875e-20,8.560653947890178e-20,1.5462688843365144e-19,2.0527507255603852e-19,2.2460495539043534e-19,2.1885318635976563e-19,2.079029694678738e-19,1.9756720149103433e-19,1.8789345807315174e-19,1.7885020674374462e-19,1.703728346543747e-19,1.6242390504591062e-19,1.5496445963443039e-19,1.4794959178612674e-19,1.4135866456116437e-19,1.3514634942942008e-19,1.2929948431008176e-19,1.2377964315218126e-19,1.1857334344947602e-19,1.1365330970222915e-19,1.0900116693275026e-19,1.0460181434245271e-19,1.0043265888894239e-19,9.648609397499703e-20,9.273976616143982e-20,8.918832893909992e-20,8.581335840969373e-20,8.26080546290983e-20,7.956010924290237e-20,7.665938373518758e-20,7.389972280799942e-20,7.126876172060273e-20,6.876356127055474e-20,6.637224706933587e-20,6.409234131219507e-20,6.191446033257483e-20,5.983464286019421e-20,5.784715297696396e-20,5.594587853414189e-20,5.4128273898928644e-20,5.23871420340757e-20,5.072131255681319e-20,4.912412842962162e-20,4.759425460571345e-20,4.61267222817598e-20,4.471895151873223e-20,4.3368265109549596e-20,4.2070735611452393e-20,4.082533914531816e-20,3.962769098220294e-20,3.8477307837650427e-20,3.737031214478106e-20,3.630586001150804e-20,3.52812620638412e-20,3.429472695005009e-20,3.3345012375498494e-20,3.242950494902903e-20,3.154782598835702e-20,3.069721244716871e-20,2.987744479846336e-20,2.9086206809929415e-20,2.8322884246727854e-20,2.758601954004833e-20,2.687431106845164e-20,2.6187205461241522e-20,2.5522919905962898e-20,2.4881344130313008e-20,2.4260694045797752e-20,2.3660844527689078e-20,2.3080393894429824e-20,2.2518847234410816e-20,2.1975436103083606e-20,2.1449181910732036e-20,2.0939865468267595e-20,2.0446247932118248e-20,1.9968322353981654e-20,1.9504917698286086e-20,1.9055936124254116e-20,1.8620527659068968e-20,1.8198275867066815e-20,1.7788795532489705e-20,1.7391339258947992e-20,1.7005846133637284e-20,1.6631443806022824e-20,1.6268156431348094e-20,1.5915208426099648e-20,1.5572504215961138e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.551038072658602e-25,4.8027107725546414e-21,3.116582812581778e-20,8.495567486644279e-20,1.5421335117297454e-19,2.0161332896333484e-19,2.159595027622759e-19,2.087265066258221e-19,1.9871436492793534e-19,1.8929544592489163e-19,1.8046366133955992e-19,1.721757259513681e-19,1.6438174553105862e-19,1.5705879107861462e-19,1.5015649961017077e-19,1.4366024718663676e-19,1.375273399333235e-19,1.3174279789737333e-19,1.262763162012745e-19,1.21107479034004e-19,1.1621950841327327e-19,1.1158730198022634e-19,1.0720240830411683e-19,1.0303999124105176e-19,9.9094110467037e-20,9.534429581704693e-20,9.178299210508232e-20,8.839652393834013e-20,8.517362675756307e-20,8.210746162112372e-20,7.918429048729768e-20,7.640084770849377e-20,7.374394005661048e-20,7.121081452729586e-20,6.879104524867295e-20,6.648023098843396e-20,6.427199876361654e-20,6.215955757421144e-20,6.014007905443555e-20,5.820556682166092e-20,5.635472050350853e-20,5.45801436926324e-20,5.2880353064079385e-20,5.124982794993457e-20,4.968570186793372e-20,4.8185000264596555e-20,4.674335949222063e-20,4.5359641953632896e-20,4.4028975926047376e-20,4.275082444858731e-20,4.15208792889394e-20,4.03382028273874e-20,3.9199806992213444e-20,3.810370147360483e-20,3.704850600036043e-20,3.6031316922696416e-20,3.505171349964146e-20,3.4106625804671536e-20,3.3195809928823265e-20,3.2316692385371624e-20,3.146859071893579e-20,3.064988547452179e-20,2.985913046494105e-20,2.9095710858885956e-20,2.835764583424146e-20,2.7644812871212905e-20,2.695522972992178e-20,2.6288757388550208e-20,2.5643838486525147e-20,2.501992314443689e-20,2.4416157569755857e-20,2.3831454484823788e-20,2.3265570356119995e-20,2.271712874680304e-20,2.2186121936851167e-20,2.167124882857944e-20,2.1172400714436962e-20,2.0688633218615832e-20,2.021948365365272e-20,1.976452401945697e-20,1.9322923909390405e-20,1.889461564531353e-20,1.8478629988299187e-20,1.8074993776414574e-20,1.7682845285269594e-20,1.7302078325500982e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2979454556256105e-22,6.30302407344357e-21,3.63715672509886e-20,9.534813289842505e-20,1.6273233017348529e-19,2.0098499048330485e-19,2.0730902229780292e-19,1.985019388854533e-19,1.8938558855997616e-19,1.8081255911015603e-19,1.727576371325613e-19,1.6516542560018204e-19,1.5801983883487537e-19,1.512739154863045e-19,1.4491117827712454e-19,1.3889829319911746e-19,1.3321280377437303e-19,1.2783625497368765e-19,1.2274103532639728e-19,1.1791784863713375e-19,1.1333937625977128e-19,1.089990841039226e-19,1.0487445590470838e-19,1.009571812958489e-19,9.723221795764147e-20,9.36871753793273e-20,9.031453103136236e-20,8.709917368303585e-20,8.403751126823243e-20,8.111503182682996e-20,7.832870717732011e-20,7.566706932750622e-20,7.312527711893579e-20,7.069632055573082e-20,6.837272984198048e-20,6.615139390197687e-20,6.402351707290527e-20,6.198766900337913e-20,6.003571397652715e-20,5.81660204013238e-20,5.637251579027686e-20,5.465204714125596e-20,5.300134257863261e-20,5.14156022853372e-20,4.9893574955420686e-20,4.8429901911973024e-20,4.7023992522074766e-20,4.5671107923102855e-20,4.4370216775355816e-20,4.311803233374909e-20,4.191236534661432e-20,4.075169757743842e-20,3.9632835141483946e-20,3.855531524252308e-20,3.751576109884999e-20,3.651390442152708e-20,3.554691449039698e-20,3.4614040635100944e-20,3.37135015276644e-20,3.284370642693981e-20,3.200397904602081e-20,3.119214056928158e-20,3.040805623043438e-20,2.9649545654377074e-20,2.891645592333536e-20,2.820707401041711e-20,2.7520795072895114e-20,2.685667997721945e-20,2.6213532766654056e-20,2.5591085565231556e-20,2.4987824354062856e-20,2.440374064146973e-20,2.3837403278261593e-20,2.328869269100034e-20,2.2756570108586206e-20,2.2240526595528552e-20,2.1740091370893398e-20,2.1254351024564148e-20,2.0783231113617985e-20,2.0325665518637298e-20,1.9881683760294205e-20,1.945033798034741e-20,1.9031511375252448e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.180724376421303e-22,1.0884255397023406e-20,4.999592106491079e-20,1.156585364386846e-19,1.750709910848055e-19,1.997763894552948e-19,1.9720902214991288e-19,1.8845520279445821e-19,1.8017312746776757e-19,1.723782593201559e-19,1.6501936987369231e-19,1.5807848464866591e-19,1.515192407532074e-19,1.4531714120895507e-19,1.3945205407656984e-19,1.3389385897822163e-19,1.286324150228194e-19,1.236379212644764e-19,1.1890324989483948e-19,1.1440383871605489e-19,1.1013062224315459e-19,1.060671913410223e-19,1.0220002963922994e-19,9.852093107606999e-20,9.501341134384209e-20,9.16735519845293e-20,8.84855224135441e-20,8.544601929466515e-20,8.254253260037104e-20,7.976978128194475e-20,7.712011838254729e-20,7.458539536572843e-20,7.21622184689133e-20,6.984099281428935e-20,6.762015808206352e-20,6.549083930613708e-20,6.34512566415046e-20,6.149478582610268e-20,5.961798736130341e-20,5.78172920735795e-20,5.608746401206796e-20,5.442713817131785e-20,5.2830468960010827e-20,5.129681207756223e-20,4.9820998066161316e-20,4.840190187376511e-20,4.703593810628207e-20,4.5720718586413776e-20,4.445458712358766e-20,4.323405962178403e-20,4.2058631232948645e-20,4.092461834522081e-20,3.983172829167722e-20,3.8776873139707926e-20,3.7759234009539904e-20,3.6776867713420277e-20,3.5828038968032306e-20,3.491201003588317e-20,3.402640412398453e-20,3.317107422055441e-20,3.2343641831426906e-20,3.154394014400458e-20,3.077010047777235e-20,3.0021463031168275e-20,2.929700333658249e-20,2.859541676706495e-20,2.791641110618692e-20,2.725833476423284e-20,2.6621178477930912e-20,2.6003381057191864e-20,2.5404812063576617e-20,2.4824338338392374e-20,2.4261404701893154e-20,2.371549759579085e-20,2.318562061326019e-20,2.267169254714674e-20,2.217255040544399e-20,2.1688226391210187e-20,2.1217686519377893e-20,2.0760803373087113e-20
