6.369261512200539e-19,1.1098729332318871e-18,9.245117628819938e-19,7.005632564948298e-19,5.435145006151926e-19,4.301238879661428e-19,3.46211340990957e-19,2.8278917342518536e-19,2.339642848572366e-19,1.9576367848074222e-19,1.6544799044053696e-19,1.4108468286741915e-19,1.2128001950234573e-19,1.0501544615698506e-19,9.153447843950777e-20,8.026627201450317e-20,7.07742414027924e-20,6.272182950951816e-20,5.584646930986075e-20,4.994041885136025e-20,4.4838627137836676e-20,4.0408835008927966e-20,3.654400685157533e-20,3.315670904052121e-20,3.017542328971778e-20,2.7541202099094063e-20,2.5204897457187034e-20,2.3125525993389782e-20,2.12687506364842e-20,1.960559785539133e-20
7.796548685539044e-21,3.299232209987214e-19,9.762235093474443e-19,9.336384581879649e-19,7.246568659749453e-19,5.734754606946194e-19,4.615965628212666e-19,3.7703707244975007e-19,3.119398382615576e-19,2.610077441522011e-19,2.20588451823802e-19,1.8810534771023038e-19,1.6170019151002106e-19,1.4001496557119493e-19,1.2204106458897815e-19,1.0701739338267151e-19,9.43618613830009e-20,8.362574383781177e-20,7.445896545546264e-20,6.658454810191908e-20,5.978243262975718e-20,5.3876280581519197e-20,4.872338354405493e-20,4.42071680371937e-20,4.023228017990994e-20,3.672012646529603e-20,3.3605178845957876e-20,3.083279502464768e-20,2.8357194080364234e-20,2.6139746191448454e-20
0,2.8180401331008445e-22,1.8391872672562336e-19,8.530256195610342e-19,9.045564613735337e-19,7.168153438234182e-19,5.769723755671395e-19,4.712772860322292e-19,3.8990903315172627e-19,3.2624648949829105e-19,2.757244167798054e-19,2.351221782543441e-19,2.021170674559882e-19,1.75011630950649e-19,1.5254516307980038e-19,1.3376633333145413e-19,1.17947557911449e-19,1.0452795355704146e-19,9.306994384562727e-20,8.322732010745974e-20,7.472501952950919e-20,6.734262795166706e-20,6.09017670696292e-20,5.525672592452034e-20,5.0288316984010086e-20,4.589830233638719e-20,4.2004775234036025e-20,3.85394355668847e-20,3.544505949733727e-20,3.2673361700576443e-20
0,0,0,1.2930759945463007e-19,7.830504087278206e-19,8.594302036462237e-19,6.923387797542313e-19,5.65509814601984e-19,4.678718698829726e-19,3.914799148162418e-19,3.308558855597482e-19,2.8213517471397045e-19,2.425306475243877e-19,2.100054424547931e-19,1.8304677405095198e-19,1.6051309198271995e-19,1.415313310955938e-19,1.2542845876243836e-19,1.1167940456514686e-19,9.986873494380726e-20,8.966638790517161e-20,8.080787718072469e-20,7.307915748378323e-20,6.630538275284326e-20,6.034353374783382e-20,5.50757297541836e-20,5.0403686659690313e-20,4.6245447655212527e-20,4.253234691969583e-20,3.920644441254264e-20
0,0,0,3.643723206484147e-25,1.2197054503922319e-19,7.62792172702237e-19,8.075905985048538e-19,6.597346585884178e-19,5.458283488105612e-19,4.56708020403312e-19,3.859828584148559e-19,3.291443373033402e-19,2.8294093189937786e-19,2.449964002430886e-19,2.1354589764142413e-19,1.8725766945834981e-19,1.6511318104290293e-19,1.4632725954924275e-19,1.3028734769882178e-19,1.1650879268679398e-19,1.0460653782482998e-19,9.427202833005109e-20,8.525555484200747e-20,7.735313857250946e-20,7.039793051720119e-20,6.425240876050531e-20,5.880191316119325e-20,5.3950831324746265e-20,4.961905637973559e-20,4.5738994357117296e-20
0,0,0,0,1.7325883592475156e-25,1.501157827452099e-19,7.710066499294471e-19,7.539518021068936e-19,6.23778470289887e-19,5.219308065568694e-19,4.411053355964467e-19,3.7614966623676325e-19,3.2334792076518487e-19,2.7998450447505554e-19,2.44042533990259e-19,2.1400006588026938e-19,1.886931078608835e-19,1.672243560127301e-19,1.4889377333148363e-19,1.331474934122801e-19,1.1954546935659472e-19,1.0773508146102792e-19,9.743095919981283e-20,8.839999343388445e-20,8.045150733794911e-20,7.342833939718789e-20,6.719945477683148e-20,6.165558661061393e-20,5.670518790976407e-20,5.2271011564081587e-20
0,0,0,0,0,9.696952327565337e-23,2.1938038221990293e-19,7.780236059716708e-19,7.017222346761013e-19,5.871482735740779e-19,4.962233173556654e-19,4.23151161728402e-19,3.637516143059083e-19,3.1496975531010427e-19,2.7453668323640346e-19,2.4074028137032052e-19,2.122711116569688e-19,1.8811974824811037e-19,1.6749868154790582e-19,1.497848371960738e-19,1.344831825685297e-19,1.211970366349946e-19,1.0960537061267208e-19,9.944594738729921e-20,9.050426425588302e-20,8.260352170603807e-20,7.55963115448653e-20,6.93597135479194e-20,6.379074154206668e-20,5.880249606319626e-20
0,0,0,0,0,0,1.7078841172854038e-21,3.3715573626864923e-19,7.612885029350305e-19,6.523604217521392e-19,5.5133680394369e-19,4.701488239924466e-19,4.041520127056715e-19,3.4995215290766575e-19,3.050283455188218e-19,2.6747831605036087e-19,2.3584719253860584e-19,2.0901343635060568e-19,1.8610207243287246e-19,1.6642082411399294e-19,1.4941967752870735e-19,1.3465789391329847e-19,1.2177878913606505e-19,1.104910004830911e-19,1.0055620131681422e-19,9.177795572886795e-20,8.399248350355993e-20,7.706321217177109e-20,7.087571730893285e-20,6.533344788422586e-20
0,0,0,0,0,0,0,1.3619573902352365e-20,4.882502655228575e-19,7.166597523025736e-19,6.064457956120048e-19,5.171426532433484e-19,4.445491161488225e-19,3.8493169742736566e-19,3.3551752097664857e-19,2.942141700423968e-19,2.594213506133731e-19,2.299054204155544e-19,2.0470394607127152e-19,1.8305545424194793e-19,1.643549543052833e-19,1.4811765335736183e-19,1.3395121482553944e-19,1.2153515277165902e-19,1.1060731856661004e-19,1.0095164150754076e-19,9.238797069122735e-20,8.476608251732027e-20,7.796011524269157e-20,7.186386705697132e-20
0,0,0,0,0,0,0,0,6.139824889957632e-20,6.2297282288915855e-19,6.615502926114401e-19,5.641326496950016e-19,4.849429248192299e-19,4.1990838902841447e-19,3.660042097486561e-19,3.2094784346811724e-19,2.8299358598856877e-19,2.5079570053804723e-19,2.233043025477698e-19,1.9968872765565176e-19,1.79289012966236e-19,1.6157631502844714e-19,1.4612264773649837e-19,1.325784043032708e-19,1.2065761605101838e-19,1.101245790838108e-19,1.0078277314607987e-19,9.246832461962677e-20,8.504393537558769e-20,7.839375361115605e-20
