"Ev_MeV","1-3 eV","3-5 eV","5-7 eV","7-9 eV","9-11 eV","11-13 eV","13-15 eV","15-17 eV","17-19 eV","19-21 eV","21-23 eV","23-25 eV","25-27 eV","27-29 eV","29-31 eV","31-33 eV","33-35 eV","35-37 eV","37-39 eV","39-41 eV","41-43 eV","43-45 eV","45-47 eV","47-49 eV","49-51 eV","51-56 eV","56-61 eV","61-66 eV","66-71 eV","71-81 eV","81-120 eV"
0.18,6.145728959892506e-18,-8.123797995568801e-35,3.519956283896117e-35,1.169681040873664e-34,-1.169681040873664e-34,0,0,-2.808645129804824e-34,2.808645129804824e-34,0,0,0,0,0,0,-2.7125658949717903e-34,5.336599606361641e-34,-2.624033711389855e-34,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18341170585292646,6.501845751437219e-18,6.902012742490965e-35,-4.8086434032168257e-35,2.522779477880187e-34,-2.522779477880187e-34,0,0,-8.3995688444495e-34,8.3995688444495e-34,0,0,0,0,0,0,-2.563991977802822e-34,-6.728533356557953e-34,9.292525334360769e-34,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1868234117058529,6.871459989619045e-18,1.3958677194188636e-34,-3.612639637104243e-35,2.5745464155237058e-34,-2.5745464155237058e-34,0,0,-1.112177825682477e-33,1.112177825682477e-33,0,0,0,0,0,0,-2.4260732880910564e-34,-2.2290766091148194e-34,4.655149897205872e-34,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1902351175587794,7.254822797383345e-18,1.3221054237328004e-34,-3.421735735959358e-35,2.423238033786335e-34,-2.423238033786335e-34,0,0,-7.2143999488407605e-34,7.2143999488407605e-34,0,0,0,0,0,0,-2.2978715016734045e-34,-9.910273608788634e-35,3.2888988625522645e-34,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19364682341170586,7.652185463302978e-18,1.253450040237318e-34,-3.244049013739266e-35,1.9357354020980016e-34,-1.9357354020980016e-34,0,0,-5.987752755828811e-34,5.987752755828811e-34,0,0,0,0,0,0,-2.1785457305671117e-34,-1.4851878933573666e-33,1.7030424664140775e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1970585292646323,8.063798321150399e-18,1.1894671400534895e-34,-3.078455126807619e-35,7.000411141637922e-35,-7.000411141637922e-35,0,0,-3.4851285061341276e-34,3.4851285061341276e-34,0,0,0,0,0,0,-2.0673409202035568e-34,-1.2274463156392658e-33,1.4341804076596212e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20047023511755876,8.489913185659355e-18,1.1297658969980055e-34,-2.923942579489434e-35,6.649049399071039e-35,-6.649049399071039e-35,0,0,-2.0933584165814992e-35,2.0933584165814992e-35,0,0,0,0,0,0,-1.963577799223124e-34,-1.1606865998251211e-33,1.357044379747433e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20388194097048523,8.930780748036331e-18,1.0739940661181293e-34,-2.779599728037579e-35,6.320813558723675e-35,-6.320813558723675e-35,0,0,2.976662962504275e-34,-2.976662962504275e-34,0,0,0,0,0,0,-1.8666441519704088e-34,-3.0179865761756403e-33,3.204650991372681e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2072936468234117,9.386651950025825e-18,1.0218336124067668e-34,-2.6446034673278175e-35,1.8483455566051176e-34,-1.8483455566051176e-34,0,0,2.832095971337162e-34,3.6787925688253556e-34,-6.510888540162518e-34,0,0,0,0,0,-1.775987221028177e-34,-4.2047663755256194e-33,4.3823650976284384e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21070535267633816,9.857777821246609e-18,9.72996896501439e-35,-2.518209359081631e-35,2.1365367170901653e-34,-2.1365367170901653e-34,0,0,2.6967409931004917e-34,3.4759115566902963e-34,-6.172652549790788e-34,0,0,0,0,0,-1.6911070778113583e-34,-2.709509065017671e-33,2.878619772798808e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21411705852926463,1.0344409366839661e-17,9.272233387805794e-35,-2.3997429982272498e-35,-9.706023273624754e-35,9.706023273624754e-35,0,0,2.569875809922889e-34,-1.1552868787937948e-35,-2.4543471220435096e-34,0,0,0,0,0,-1.6115508246345136e-34,-2.5160631612119285e-33,2.677218243675381e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21752876438219107,1.0846798076330421e-17,8.842764953999918e-35,-2.2885924454013613e-35,-3.018234354582879e-34,3.018234354582879e-34,0,0,2.4508450982267537e-34,6.81818922930114e-34,-9.269034327527891e-34,0,0,0,0,0,-1.5369075127475881e-34,-4.478011284507155e-33,4.631702035781915e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22094047023511754,1.1365194337706485e-17,8.439414899137276e-35,-2.1842015797374138e-35,-1.5361471784761793e-34,1.5361471784761793e-34,0,0,2.339053310254097e-34,3.8183578154872017e-34,-6.157411125741297e-34,0,0,0,0,0,-1.4668036783914419e-34,-4.358029687306362e-33,4.504710055145509e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.224352176088044,1.1899849673776832e-17,8.060227525615019e-35,-2.0860642479244633e-35,-1.7200258538993771e-34,1.7200258538993771e-34,0,0,2.2339584083155207e-34,7.727554966125118e-34,-9.961513374440636e-34,0,0,0,0,0,-1.4008994135899928e-34,-5.4959538209855346e-33,5.636043762344536e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22776388194097047,1.245101437594561e-17,7.70342026373461e-35,-1.9937191038149303e-35,-1.4565565021994556e-34,1.4565565021994556e-34,0,0,2.135066338545449e-34,1.0661067989133774e-33,-1.2796134327679222e-33,0,0,0,0,0,-1.338884900681466e-34,-7.428943167060167e-33,7.562831657128315e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23117558779389694,1.3018940350809127e-17,7.367366051815096e-35,-1.9067450482287964e-35,8.927822538225146e-35,-8.927822538225146e-35,0,0,2.0419261474054767e-34,1.747923447705912e-34,-3.7898495951113885e-34,0,0,0,0,0,-1.2804773499124111e-34,-7.104862751357785e-33,7.232910486349027e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2345872936468234,1.3603878216442255e-17,7.050577736288214e-35,-1.8247571915484828e-35,-8.319013110931122e-35,4.3197428167048305e-34,-3.487841505611718e-34,0,1.95412565804232e-34,-2.0474990123970058e-34,9.337335435468595e-36,0,0,0,0,0,-1.225418288112551e-34,-5.317386711074038e-33,5.4399285398852945e-33,0,0,0,0,0,0,0,0,0,0,0,0,0
