"Ev_MeV","5-7 eV","7-9 eV","9-11 eV","11-13 eV","13-15 eV","15-17 eV","17-19 eV","19-21 eV","21-23 eV","23-25 eV","25-27 eV","27-29 eV","29-31 eV","31-33 eV","33-35 eV","35-37 eV","37-39 eV","39-41 eV","41-43 eV","43-45 eV","45-47 eV","47-49 eV","49-51 eV","51-56 eV","56-61 eV","61-66 eV","66-71 eV","71-81 eV","81-120 eV"
0.41,4.1816402030998096e-18,-1.5582376500514567e-35,5.546374040105195e-35,-3.9881363900537385e-35,0,3.6602805317039633e-35,8.968133851993592e-35,5.967670053080052e-34,-7.230511491449808e-34,0,0,0,0,-2.2953358627233327e-35,-1.2953660748892383e-33,2.0363092127735368e-33,-2.1304105237666032e-33,1.4124207445095382e-33,0,0,0,0,0,0,0,0,4.232601029400258e-33,-4.232601029400258e-33,0
0.4132966483241621,4.812819995670967e-18,-1.5212465758426526e-35,5.414708415352424e-35,-3.8934618395097716e-35,0,3.5733889662429243e-35,8.755238915959524e-35,5.826003263178107e-34,-7.0588660513983515e-34,0,0,0,0,-2.2408467806315709e-35,-1.264615320919064e-33,1.987969176066498e-33,-2.079836611772329e-33,1.3788912244312104e-33,0,0,0,0,0,0,0,0,4.1321231217013686e-33,-4.1321231217013686e-33,0
0.4165932966483241,5.48610244655917e-18,-1.4854171412528181e-35,5.287177517947819e-35,-3.8017603766950007e-35,0,3.4892260775546674e-35,8.54902957091368e-35,5.688785269623988e-34,-6.892610834470823e-34,0,0,0,0,-2.1880688323176974e-35,-1.234830240287363e-33,1.941147173183088e-33,-2.0308508845257373e-33,1.346414639953189e-33,0,0,0,0,0,0,0,0,4.0348005459551365e-33,-4.0348005459551365e-33,0
0.4198899449724862,6.201180172749556e-18,-1.4507041028792053e-35,5.16362030901873e-35,-3.7129162061395235e-35,0,3.407685589458367e-35,8.349245427247489e-35,5.555842801222722e-34,-6.731535902893308e-34,0,0,0,0,-2.1369353727453315e-35,-1.2059732220629467e-33,1.895784079921149e-33,-6.3462199429573114e-34,-3.3819509835017595e-35,0,0,0,0,0,0,0,0,3.9405104086651595e-33,-3.9405104086651595e-33,0
0.4231865932966483,6.957771146023755e-18,-1.4170643155156074e-35,5.043883217990312e-35,-3.626818902474705e-35,0,3.3286661544103356e-35,8.155638171114648e-35,5.427010622360215e-34,-6.575441054912713e-34,0,0,0,0,-2.0873828475913517e-35,-1.1780083995496074e-33,1.851823514007487e-33,-9.573073182520948e-34,3.0436603227012877e-34,0,0,0,0,0,0,0,0,3.84913551561257e-33,-3.84913551561257e-33,0
0.42648324162081036,7.755616812391523e-18,-1.3844566195011836e-35,4.927819741616172e-35,-3.5433631221149887e-35,0,3.252071088887836e-35,7.967970916089193e-35,5.302131101576726e-34,-6.424135302074429e-34,0,0,0,0,-2.0393506273069705e-35,-1.1509015566389696e-33,1.8092116878850096e-33,-1.8168986063071553e-33,1.1789819813341849e-33,0,0,0,0,0,0,0,0,3.760564065864539e-33,-3.760564065864539e-33,0
0.42977988994497246,8.59447671169788e-18,-1.3528417349288164e-35,4.815290067424749e-35,-3.462448332495932e-35,0,3.1778081248858544e-35,7.786017594302267e-35,5.1810538064106975e-34,-6.27743637832951e-34,0,0,0,0,-1.9927808512831293e-35,-1.12462003986569e-33,1.7678972704639202e-33,-5.473384415277008e-34,-7.601098055769842e-35,0,0,0,0,0,0,0,0,3.674689364415147e-33,-3.674689364415147e-33,0
0.43307653826913456,9.474135458509409e-18,-1.3221821622466696e-35,4.706160719921586e-35,-3.3839785576749165e-35,0,3.1057891764314144e-35,7.609562384373706e-35,5.063635122726963e-34,-6.1351702788074754e-34,0,0,0,0,-1.9476182814332866e-35,-1.0991326757773286e-33,1.7278312572275607e-33,-5.349340616978352e-34,-7.428833693806421e-35,0,0,0,0,0,0,0,0,3.591409552191933e-33,-3.591409552191933e-33,0
0.4363731865932966,1.0394400033804048e-17,-1.2924420888215393e-35,4.6003042280119486e-35,-3.3078621391904085e-35,0,3.035930120102069e-35,7.438399173655572e-35,4.949737896877176e-34,-5.9971708262529395e-34,0,0,0,0,-1.9038101645581278e-35,-1.0744096932602802e-33,1.6889668481291448e-33,-5.2290169677357685e-34,-7.261735644970646e-35,0,0,0,0,0,0,0,0,3.5106273522563274e-33,-3.5106273522563274e-33,0
0.4396698349174587,1.135508942735342e-17,-1.263587301064733e-35,4.4975988122226357e-35,-3.234011511157903e-35,0,2.968150588610708e-35,7.272331052489742e-35,4.839231099163369e-34,-5.863279263273413e-34,0,0,0,0,-1.8613061029040657e-35,-1.050422650489839e-33,1.6512593327576163e-33,-5.112275044762392e-34,-7.099611676249758e-35,0,0,0,0,0,0,0,0,3.432249831113419e-33,-3.432249831113419e-33,0
0.4429664832416208,1.2356043745377125e-17,-1.2355851017506818e-35,4.397928090406759e-35,-3.1623429886560767e-35,0,2.902373776588016e-35,7.111169838351243e-35,4.731989507188407e-34,-5.733343868682333e-34,0,0,0,0,-1.8200579323708063e-35,-1.0271443661969966e-33,1.6146659822893868e-33,1.3689068696680813e-33,-1.9382279064367635e-33,0,0,0,0,0,0,0,0,3.356188174126623e-33,-3.356188174126623e-33,0
0.44626313156578284,1.3397125273069379e-17,-1.20840423218561e-35,4.3011808007117493e-35,-3.092776568526139e-35,0,2.8385262577576684e-35,6.95473562790517e-35,4.627893407780979e-34,-5.6072195963472625e-34,0,0,0,0,-1.7800196078632099e-35,-1.0045488549671011e-33,1.5791459477781403e-33,2.3205747195082643e-33,-2.877371616240672e-33,0,0,0,0,0,0,0,0,3.282357474106432e-33,-3.282357474106432e-33,0
0.44955977988994494,1.4469437026145935e-17,4.381577242220764e-21,4.207250540679658e-35,-3.025235741771136e-35,0,2.7765378127578724e-35,6.802856375148467e-35,4.526828316278261e-34,-5.484767735068894e-34,0,0,0,0,-1.7411470953194115e-35,-9.82611266306242e-34,1.544660164367483e-33,2.2698974294972886e-33,-2.814534856605336e-33,0,0,0,0,0,0,0,0,3.2106765322101796e-33,-3.2106765322101796e-33,0
0.45285642821410704,1.5483039182150428e-17,5.806288306686261e-20,4.116035521430584e-35,-2.9596473168008316e-35,0,2.716341266916898e-35,6.655367493940168e-35,4.428684712037409e-34,-5.365855588123116e-34,0,0,0,0,-1.7033982699810062e-35,-9.613078272303269e-34,1.511171261041251e-33,7.605228248073498e-34,-1.2933522759184644e-33,0,0,0,0,0,0,0,0,3.141067670352195e-33,-3.141067670352195e-33,0
0.45615307653826914,1.6415622935460036e-17,1.7214644246677254e-19,4.0274383359552385e-35,-2.8959412528218023e-35,0,2.657872337339796e-35,6.512111483345229e-35,4.333357789127901e-34,-5.250356171196404e-34,0,0,0,0,-1.6667328205022227e-35,-9.406157881493752e-34,1.4786434755538824e-33,7.441526595313534e-34,-1.2655130187308384e-33,0,0,0,0,0,0,0,0,3.0734565543810474e-33,-3.0734565543810474e-33,0
0.4594497248624312,1.7268735619765252e-17,3.4582052274111325e-19,3.9413657406121267e-35,-2.834050502722351e-35,0,2.6010694887094056e-35,6.372937574329374e-35,4.240747221231506e-34,-5.1381479275353845e-34,0,0,0,0,-1.6311121585237583e-35,-9.205133718357754e-34,1.4470425742087608e-33,7.282489645782807e-34,-1.2384670453660288e-33,0,0,0,0,0,0,0,0,3.0077720273336262e-33,-3.0077720273336262e-33,0
0.4627463731865933,1.8043857396699076e-17,5.783066288637365e-19,3.8577284489887616e-35,-2.7739108648478107e-35,0,2.545873797246872e-35,6.23770139644579e-35,4.150756939845433e-34,-5.0291144592147e-34,0,0,0,0,-1.5964993333633913e-35,-9.009797252801836e-34,1.416335776175923e-33,2.2047458944438686e-33,-2.704136952005974e-33,0,0,0,0,0,0,0,0,2.943945952124571e-33,-2.943945952124571e-33,0
0.4660430215107554,1.8742387617648224e-17,8.688803853096551e-19,3.7764409373453656e-35,-2.715460843104272e-35,0,2.4922288223159463e-35,6.106264663249981e-35,4.063294924947771e-34,-4.923144273504363e-34,0,0,0,0,-1.562858951499948e-35,-8.819948742525342e-34,1.3864916820621867e-33,2.1651021140769915e-33,-3.835999416005283e-33,1.1820290836336389e-33,0,0,0,0,0,0,0,2.881913063074647e-33,-2.881913063074647e-33,0
0.46933966983491743,1.9365667485368092e-17,1.2168442270687737e-18,3.69742126091404e-35,-2.6586415148679704e-35,0,2.4400804851912395e-35,5.978494875267216e-35,3.9782730073429575e-34,-4.820130543388804e-34,0,0,0,0,-1.5301571005497415e-35,-8.635396803983667e-34,1.357480206466783e-33,2.119798699742275e-33,-5.593131007815685e-33,2.9946933530104915e-33,0,0,0,0,0,0,0,2.8216108257232405e-33,-2.8216108257232405e-33,0
0.4726363181590795,1.9914963013571736e-17,1.6215520845636344e-18,3.6205908803767014e-35,-2.603396406213736e-35,0,2.3893769545438739e-35,5.85426503941839e-35,3.895606681959189e-34,-4.719970881355417e-34,0,0,0,0,-1.4983612774554357e-35,-8.455958007124212e-34,1.3292725142740451e-33,2.075750448469037e-33,-5.476908821215439e-33,2.9324652719593332e-33,0,0,0,0,0,0,0,2.762979304408572e-33,-2.762979304408572e-33,0
0.4759329664832416,2.0391486028314152e-17,2.082384276607479e-18,3.545874497891685e-35,-2.54967137400945e-35,0,2.3400685382286864e-35,5.733453403885481e-35,3.815214931419795e-34,-4.6225671256312115e-34,0,0,0,0,-1.4674403206265737e-35,-8.28145649242344e-34,1.3018409604518177e-33,2.0329141906383477e-33,-3.829708738892889e-33,1.3377736402513337e-33,0,0,0,0,0,0,0,2.7059610371347785e-33,-2.7059610371347785e-33,0
0.47922961480740367,2.0796388563866254e-17,2.598756943774613e-18,3.473199902081894e-35,-2.4974144944543206e-35,0,2.2921075809855314e-35,5.615943207467251e-35,3.7370200592568707e-34,-4.527825138102149e-34,0,0,0,0,-1.4373643457887912e-35,-8.11172360885379e-34,1.2751590331400306e-33,1.9912485261574213e-33,-5.291711540160382e-33,2.8508499852061985e-33,0,0,0,0,0,0,0,2.6505009172778183e-33,-2.6505009172778183e-33,0
0.48252626313156577,2.1130760405706294e-17,3.170127006250681e-18,3.4024978214372746e-35,-2.446575957667506e-35,0,2.2454483676935344e-35,5.501622442540374e-35,3.66094753217838e-34,-4.435654613201771e-34,0,0,0,0,-1.408104685315248e-35,-7.946597571502394e-34,1.2492012998285272e-33,1.950713740412589e-33,-5.18399098660508e-33,2.7928167503673564e-33,0,0,0,0,0,0,0,2.5965460817125847e-33,-2.5965460817125847e-33,0
0.48582291145572787,2.139564542992606e-17,3.795973194482527e-18,3.333701785621234e-35,-2.3971079679600923e-35,0,2.2000470318414928e-35,5.390383630800752e-35,3.5869258308395673e-34,-4.345968897103792e-34,0,0,0,0,-1.3796338308290687e-35,-7.785923137649618e-34,1.223943356436768e-33,1.9112717247537583e-33,-5.079174452311499e-33,2.7363480231942268e-33,0,0,0,0,0,0,0,2.5440458049717637e-33,-2.5440458049717637e-33,0
0.4891195597798899,2.1592035566700702e-17,4.4758055003591206e-18,3.266747994204783e-35,-2.3489646494479945e-35,0,2.1558614689001313e-35,5.28212361101496e-35,3.51488630860631e-34,-4.258684816597819e-34,0,0,0,0,-1.3519253788797008e-35,-7.629551300195187e-34,1.1993617791205631e-33,1.8728859012373105e-33,-4.977164731971605e-33,2.681391435422048e-33,0,0,0,0,0,0,0,2.4929513990729965e-33,-2.4929513990729965e-33,0
0.492416208104052,2.1720868369059006e-17,5.209169710099367e-18,3.2015751923839005e-35,-2.302101956686167e-35,0,2.112851254302874e-35,5.176743338063148e-35,3.4447630578321106e-34,-4.173722517068713e-34,0,0,0,0,-1.32495397950924e-35,-7.477338997393752e-34,1.1754340786426469e-33,1.8355211513726127e-33,-4.877868498750641e-33,2.62789670826985e-33,0,0,0,0,0,0,0,2.44321611867515e-33,-2.44321611867515e-33,0
0.4957128564282141,2.1783039705251088e-17,5.995632995924141e-18,3.138124553264914e-35,-2.2564775900255666e-35,0,2.0709775657611264e-35,5.074147692601988e-35,3.376492783202024e-34,-4.0910053090383354e-34,0,0,0,0,-1.2986952875368965e-35,-7.3291488379301886e-34,1.152138657154645e-33,1.7991437486340907e-33,-4.781196124939035e-33,2.5758155558186885e-33,0,0,0,0,0,0,0,2.3947950712468318e-33,-2.3947950712468318e-33,0
0.49900950475237615,2.1779402135685572e-17,6.834787418464594e-18,3.076339566329986e-35,-2.21205091541393e-35,0,2.030203109658052e-35,4.974245300720463e-35,3.3100146817261055e-34,-4.010459522763957e-34,0,0,0,0,-1.2731259164010574e-35,-7.184848840428645e-34,1.129454767248024e-33,1.7637212945164672e-33,-4.8048117127069005e-33,2.642851794149286e-33,0,0,0,0,0,0,0,2.3476451319511227e-33,-2.3476451319511227e-33,0
0.5023061530765383,2.1710765480749983e-17,7.726250538540737e-18,3.016165931720063e-35,-2.168782888379626e-35,0,1.990492051281543e-35,4.876948363002119e-35,3.245270328992223e-34,-3.932014370420589e-34,0,0,0,0,-1.2482233944088787e-35,-7.044312186548378e-34,1.107362473140876e-33,1.7292226579252584e-33,-6.200211903231746e-33,4.08054022476454e-33,0,0,0,0,0,0,0,2.3017248629697888e-33,-2.3017248629697888e-33,0
0.5056028014007004,2.157789766722113e-17,8.669665573626168e-18,2.9575514599961586e-35,-2.1266359819547134e-35,0,1.9518099486725657e-35,4.782172492445454e-35,3.182203571313324e-34,-3.855601815425126e-34,0,0,0,0,-1.223966123253054e-35,-6.90741698687436e-34,1.0858426138760336e-33,1.6956179177081004e-33,-6.079720473545404e-33,4.0012413018812374e-33,0,0,0,0,0,0,0,2.2569944370081742e-33,-2.2569944370081742e-33,0
0.5088994497248623,2.1381527196398543e-17,9.6646994952418e-18,2.9004459770616345e-35,-2.0855741183090284e-35,0,1.9141236898794558e-35,4.6898365607292737e-35,3.1207604234277245e-34,-3.7811564484885978e-34,0,0,0,0,-1.2003333386644289e-35,-6.77404605886146e-34,1.0648767684140046e-33,1.662878308144966e-33,-5.962331011875927e-33,3.923983874589748e-33,0,0,0,0,0,0,0,2.2134155647385928e-33,-2.2134155647385928e-33,0
0.5121960980490244,2.112234828268317e-17,1.071103786496361e-17,2.844801233948447e-35,-2.045562603881724e-35,0,1.877401433422153e-35,4.599862552342814e-35,3.0608889714328274e-34,-3.7086153700093244e-34,0,0,0,0,-1.1773050730775476e-35,-6.644086716138546e-34,1.0444472225116783e-33,1.6309761672269822e-33,-5.847944334745764e-33,3.848702667351735e-33,0,0,0,0,0,0,0,2.1709514259555683e-33,-2.1709514259555683e-33,0
0.5154927463731865,2.080101986467675e-17,1.1808387090838957e-17,2.7905708211892324e-35,-2.0065680678102699e-35,0,1.841612551782815e-35,4.5121754261308444e-35,3.0025392806530118e-34,-3.637918078444378e-34,0,0,0,0,-1.1548621201940176e-35,-6.517430568522879e-34,1.0245369372846826e-33,1.599884887564396e-33,-5.736465040065481e-33,3.775334893270632e-33,0,0,0,0,0,0,0,2.129566604230653e-33,-2.129566604230653e-33,0
0.5187893946973486,2.0422259935679866e-17,1.2948288572807359e-17,4.0920046583655256e-21,-1.9685584034695168e-35,0,1.8067275777508245e-35,4.4267029838323936e-35,2.9456633081612883e-34,-3.5690063643196105e-34,0,0,0,0,-1.1329860013358482e-35,-6.393973332136148e-34,1.0051295193577188e-33,1.5695788697742654e-33,-5.6278013400030664e-33,3.703820144098057e-33,0,0,0,0,0,0,0,2.089227024867957e-33,-2.089227024867957e-33,0
0.5220860430215107,2.00378360127473e-17,1.40281381548502e-17,6.345113142499492e-20,-1.931502712945204e-35,0,1.7727181534610094e-35,4.3433757452181667e-35,2.890214819691925e-34,-3.5018242095598427e-34,0,0,0,0,-1.111658933487678e-35,-6.273614649051735e-34,9.862091925131982e-34,1.5400334782078545e-33,-5.5218649022423584e-33,3.634100285761358e-33,0,0,0,0,0,0,0,2.0498998959739948e-33,-2.0498998959739948e-33,0
0.5253826913456728,1.966300027535094e-17,1.501831901748703e-17,1.9276783494985276e-19,-1.8953712542772471e-35,0,1.739556981973941e-35,4.2621268294563753e-35,2.8361493106976447e-34,-3.4363176918406763e-34,0,0,0,0,-1.0908637989331273e-35,-6.156257915938344e-34,9.67760770754103e-34,1.5112249988864405e-33,-5.485563586814485e-33,3.633112246757109e-33,0,0,0,0,0,0,0,2.011553652467095e-33,-2.011553652467095e-33,0
