5.441702783218076e-20,9.79743021596401e-20,1.6028375177925162e-19,2.446971530995789e-19,3.545076250772098e-19,4.90126939871144e-19,5.988000768046533e-19,6.349710851962707e-19,6.063126177865713e-19,5.208564721731919e-19,4.2250648778330826e-19,3.4608926280955586e-19,2.870689183463049e-19,2.4074455567634913e-19,2.0386342996410276e-19,1.7415662277496933e-19,1.4995735547062033e-19,1.300354394261301e-19,1.1349414540050588e-19,9.964685632705565e-20,8.796197691284342e-20,7.803408581349058e-20,6.954770413973409e-20,6.224887210670257e-20,5.593518327445893e-20,5.044827702666711e-20,4.5656822466775834e-20,4.145246799022547e-20,3.774917022710141e-20,3.447471686471501e-20,3.156797315230283e-20,2.8978838983997307e-20,2.666564809171159e-20,2.4592303792633764e-20,2.2728112626320326e-20,2.1047894481312914e-20,1.9529449746069377e-20,1.8153375083521135e-20,1.6903667400756996e-20,1.5766227110413643e-20,1.472850295048833e-20,1.3779825139041223e-20,1.2911009529749003e-20,1.2113741849148194e-20,1.1380679455545134e-20,1.0705659555682596e-20,1.0083035600688306e-20,9.507687710780123e-21,8.975313846797626e-21,8.482005414467053e-21,8.024164452527788e-21,7.598666622172114e-21,7.20276823917818e-21,6.833908490780746e-21,6.489767849433744e-21,6.1683777672261555e-21,5.867884307337747e-21,5.586561619795064e-21,5.322946500240183e-21,5.075680536345096e-21,4.843481815466369e-21,4.625222416573047e-21,4.4198995510796345e-21,4.226555246574535e-21,4.044305658706555e-21,3.872397232907493e-21,3.710104973591362e-21,3.556740059703678e-21,3.411716503942505e-21,3.2744813372233863e-21
0,0,0,0,0,1.5121717105595255e-21,3.260178001981761e-20,1.1767168937742678e-19,2.5460136326606235e-19,4.372446773968191e-19,5.827694789506665e-19,6.2338606760472e-19,5.705277728270832e-19,4.814711171573734e-19,4.077116223733288e-19,3.483002283987158e-19,2.9990350253847053e-19,2.6006115949188004e-19,2.269798078020305e-19,1.9928626465599888e-19,1.759173792014372e-19,1.5606233905237457e-19,1.3909021001041835e-19,1.2449309148777945e-19,1.1186618573323736e-19,1.0089278335061545e-19,9.131023236299915e-20,8.290183765989447e-20,7.549551893269215e-20,6.894685695344731e-20,6.31335867900849e-20,5.795551197554881e-20,5.3329303087966136e-20,4.918276945972117e-20,4.5454526464076927e-20,4.209421576017725e-20,3.905743978422415e-20,3.630539331236225e-20,3.380607135490329e-20,3.1531275790979254e-20,2.945590503471538e-20,2.755862031973345e-20,2.582105403984609e-20,2.4226578269567853e-20,2.276050827432934e-20,2.1410518928247508e-20,2.0165317555623103e-20,1.9014664779571793e-20,1.7949956843324066e-20,1.696337685047613e-20,1.604772914743251e-20,1.519676529010317e-20,1.440499811511815e-20,1.3667306188352196e-20,1.2979050628083778e-20,1.2336294485627887e-20,1.1735330025914584e-20,1.1172705677993779e-20,1.0645495142515273e-20,1.0150981696356131e-20,9.686601610044684e-21,9.25009912582428e-21,8.839468741476283e-21,8.452794583780136e-21,8.088309030095452e-21,7.744505027609464e-21,7.41993263933922e-21,7.113214274660943e-21,6.823178002769765e-21,6.548717926827853e-21
0,0,0,0,0,0,0,0,0,2.5575880203808234e-21,4.934666530406458e-20,1.7506596741702986e-19,3.715528870393572e-19,5.381757132333102e-19,5.806784399852666e-19,5.221864098505899e-19,4.498374228801306e-19,3.900762771586487e-19,3.4045621649382115e-19,2.989175483096024e-19,2.638656095376884e-19,2.3408422980641923e-19,2.086270453307452e-19,1.8673223542649142e-19,1.6779262753429982e-19,1.5133317639003682e-19,1.3695991964444804e-19,1.2434782751551948e-19,1.1323878977146657e-19,1.0341618615689654e-19,9.469662654302555e-20,8.692982218650547e-20,7.999078390892352e-20,7.377123000099192e-20,6.817908717226195e-20,6.31388209055322e-20,5.858383749478729e-20,5.445593141142997e-20,5.070709707380217e-20,4.729503897713665e-20,4.4182106235049793e-20,4.133629196668242e-20,3.873004585480955e-20,3.6338426999825456e-20,3.4139409172965025e-20,3.211450541820083e-20,3.024677739339621e-20,2.852086664201246e-20,2.692386804043641e-20,2.544405670882021e-20,2.4070639594592226e-20,2.2794244403122054e-20,2.1606640715597075e-20,2.0500146685327094e-20,1.9467804265537085e-20,1.8503708267272967e-20,1.760229730837526e-20,1.675839423763389e-20,1.596760978000828e-20,1.52258690123383e-20,1.4529326492844392e-20,1.3874598719008896e-20,1.325867755674209e-20,1.2678689310122435e-20,1.2131982650284333e-20,1.1616297087611276e-20,1.1129457802835645e-20,1.0669398491927182e-20,1.023436132835637e-20,9.822687532618162e-21
0,0,0,0,0,0,0,0,0,0,0,0,2.4084412876140035e-21,5.606478043781445e-20,2.075021543496275e-19,4.207475930412015e-19,5.362092199045905e-19,5.183209894215188e-19,4.539233719925589e-19,3.9854070774150726e-19,3.518066683220431e-19,3.1209975843087383e-19,2.7815821041732983e-19,2.489663042062258e-19,2.2371450893229077e-19,2.017694563745965e-19,1.8260588451897473e-19,1.6579043774581247e-19,1.5097898291527737e-19,1.3788270463200845e-19,1.2625709255483763e-19,1.159017697487931e-19,1.0665009067597877e-19,9.83576855284022e-20,9.090179485434489e-20,8.418171001319812e-20,7.810864296666638e-20,7.260498946336738e-20,6.760674463440744e-20,6.30575167406614e-20,5.890710661854297e-20,5.511284014262063e-20,5.1637985033416596e-20,4.84492880950687e-20,4.551738220326263e-20,4.2817619074279966e-20,4.032741515991054e-20,3.802629334138578e-20,3.5897047478994667e-20,3.392404502811354e-20,3.2092895830536847e-20,3.039110399582161e-20,2.880769607340548e-20,2.7332430012816754e-20,2.5956028791338263e-20,2.467061914024287e-20,2.346878618143327e-20,2.234362732414816e-20,2.1289290436951862e-20,2.0300342507398592e-20,1.9371656485915396e-20,1.849872121718317e-20,1.7677526016998606e-20,1.6904239444842786e-20,1.617532653768486e-20,1.5487773430541984e-20,1.4838680480970854e-20,1.4225292727694413e-20,1.364526649623412e-20,1.309639016950136e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2100537888691498e-23,1.6509925931110385e-20,1.2719543049286414e-19,3.3795409765607624e-19,4.914939402895958e-19,4.955765419350546e-19,4.397405559554095e-19,3.901089252813979e-19,3.4768370558715297e-19,3.111952981106971e-19,2.796318301821484e-19,2.5220162353422477e-19,2.282481271946714e-19,2.072296685397032e-19,1.8871609853617561e-19,1.7234641253591004e-19,1.578149849693999e-19,1.4487135479448995e-19,1.3330722351066712e-19,1.2294213615403748e-19,1.136226496139147e-19,1.0522288317910594e-19,9.763185628887168e-20,9.075256755091287e-20,8.450501411376168e-20,7.881870915341197e-20,7.363090625232362e-20,6.888826491035305e-20,6.454487163451234e-20,6.05591616105089e-20,5.689442741709239e-20,5.3519859945278565e-20,5.0407230901122016e-20,4.753094492102538e-20,4.4869495199906033e-20,4.240334184701494e-20,4.0114497891838486e-20,3.798734410283463e-20,3.600816422137176e-20,3.416415620196838e-20,3.244372423506603e-20,3.08370271326515e-20,2.933479667183292e-20,2.7928404962998715e-20,2.661053713760666e-20,2.5374402204670657e-20,2.421359161133305e-20,2.3122466641427687e-20,2.2096014142390596e-20,2.1129445007204748e-20,2.021834071072994e-20,1.935893407405098e-20,1.8547600690654564e-20,1.7780896998173358e-20,1.7055893521952744e-20,1.6369825852401687e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.141147427935093e-21,9.716115128595283e-20,3.0454604041588185e-19,4.636406341065774e-19,4.669155702260809e-19,4.1720353115697493e-19,3.7341921742342256e-19,3.3554459153863386e-19,3.026296780986923e-19,2.738866478794855e-19,2.486655200859899e-19,2.2645013680609283e-19,2.0680731002561903e-19,1.8937030393049113e-19,1.7383857745558222e-19,1.5996218253443935e-19,1.4752458198990522e-19,1.3634165155448829e-19,1.2626234049911985e-19,1.1715347755035159e-19,1.0889866575674743e-19,1.0140190558885394e-19,9.457861628719683e-20,8.835350520347385e-20,8.266256633264087e-20,7.745070571690094e-20,7.266804760131904e-20,6.827054486628843e-20,6.42212280799564e-20,6.048622466295456e-20,5.703482142423472e-20,5.384121124404926e-20,5.0881947204156343e-20,4.8135445815043795e-20,4.558296475876982e-20,4.320804519230148e-20,4.099532528390752e-20,3.8930890626278516e-20,3.7002932272593175e-20,3.5200328806299954e-20,3.351272717962998e-20,3.193134990621643e-20,3.044804812727207e-20,2.905513189115735e-20,2.774583501280838e-20,2.6514141953048837e-20,2.535430601645848e-20,2.4261025187839677e-20,2.3229779035775395e-20,2.2256218448784727e-20,2.1336211319563447e-20,2.0466242421051186e-20,1.9642994596233028e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.461838521824794e-21,9.914625288303774e-20,3.1221344549971393e-19,4.4964993984047335e-19,4.355551586915298e-19,3.9145279325653283e-19,3.530536202977917e-19,3.1952144678138463e-19,2.900979925734897e-19,2.6418109789697706e-19,2.412653972581683e-19,2.20923049581904e-19,2.0280343786406918e-19,1.8661496786875784e-19,1.7210502314802387e-19,1.590588007795926e-19,1.4730008206911344e-19,1.3667350684006302e-19,1.2704328416355995e-19,1.182974191366807e-19,1.103372382138314e-19,1.0307490353908227e-19,9.64357444722515e-20,9.03554873393923e-20,8.477594612267744e-20,7.964573460269e-20,7.492172352707792e-20,7.056439649133659e-20,6.653792289432149e-20,6.281219565230705e-20,5.935986113817343e-20,5.6155739636703e-20,5.317796599823923e-20,5.040733901900333e-20,4.782593728976276e-20,4.541752799453673e-20,4.316833458816499e-20,4.106538261156266e-20,3.909659399948882e-20,3.725172876702729e-20,3.552128029832264e-20,3.389627734745046e-20,3.2368826352393213e-20,3.0931909469106044e-20,2.957882249185603e-20,2.830337998743595e-20,2.7100308333354064e-20,2.596453377226093e-20,2.4891235708065708e-20,2.3876313209069846e-20,2.2915896415910693e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1367551984755929e-20,1.2947404259227874e-19,3.467954741921008e-19,4.353253777304954e-19,4.034734503614005e-19,3.651525241084128e-19,3.315270861910885e-19,3.0190898198083973e-19,2.757206743906487e-19,2.52473222067484e-19,2.317659361519984e-19,2.1326557963512988e-19,1.9668345974045296e-19,1.8177409739279266e-19,1.6833610798499547e-19,1.5619194424699578e-19,1.4518642285406983e-19,1.3519155483426684e-19,1.260945750051576e-19,1.1779510132626212e-19,1.1020779939197536e-19,1.0325921656081788e-19,9.688285722978265e-20,9.101999667815533e-20,8.562134633542549e-20,8.064174643221342e-20,7.604024937460931e-20,7.178244846557717e-20,6.783708368771609e-20,6.417537939337971e-20,6.077234785586766e-20,5.760604573429816e-20,5.465599225067412e-20,5.190363636941254e-20,4.933323410747434e-20,4.6929958114359193e-20,4.46800054480315e-20,4.257167374429426e-20,4.05940987409507e-20,3.8737028002282624e-20,3.699144068125791e-20,3.534931671070235e-20,3.380299445265651e-20,3.234540512794741e-20,3.097052198443232e-20,2.967254667798899e-20,2.844597017988711e-20,2.728610590155489e-20,2.6188531326355496e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4332200631462478e-23,2.840406513333714e-20,1.9311467750539824e-19,3.8566992975051756e-19,4.095711621509906e-19,3.729528011275428e-19,3.3963378922957417e-19,3.101731415800429e-19,2.84020821530978e-19,2.607260724513269e-19,2.3991401795497925e-19,2.2125989187917515e-19,2.0448754149758242e-19,1.8937041834260887e-19,1.7570878986007842e-19,1.633280819109396e-19,1.5208431275858423e-19,1.418506267329679e-19,1.3251409863208062e-19,1.2397873115455972e-19,1.1616189343996884e-19,1.0898878097779544e-19,1.0239333114450709e-19,9.632009655374809e-20,9.071827453149878e-20,8.554180090839206e-20,8.075196972472926e-20,7.631361489140772e-20,7.219436512161255e-20,6.836611036625613e-20,6.480416537098422e-20,6.148549019776023e-20,5.838921578045754e-20,5.549763085860933e-20,5.279405534140937e-20,5.0262961550696786e-20,4.7891184862255743e-20,4.566650347826866e-20,4.357738387770896e-20,4.1613678020463705e-20,3.976636369796404e-20,3.80268219181058e-20,3.638710062779009e-20,3.484042000664336e-20,3.33802571828631e-20,3.2000414751223483e-20,3.0695620514041774e-20,2.9460899342478005e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624724963978805e-21,7.25790447625431e-20,2.8272369423458407e-19,3.9906339285076603e-19,3.773555198150957e-19,3.4462279898335393e-19,3.1556584811615117e-19,2.8968384689402856e-19,2.66560282949745e-19,2.458343196761874e-19,2.2719913319746907e-19,2.1040301323780894e-19,1.9522404376825088e-19,1.8146826141684242e-19,1.689756929866147e-19,1.5760539346906403e-19,1.4723189552361349e-19,1.3774853982275998e-19,1.290635180356438e-19,1.210937174218835e-19,1.1376573805357455e-19,1.0701797423080086e-19,1.0079398083511232e-19,9.504257753896916e-20,8.972075947063826e-20,8.478945478787658e-20,8.021269685794468e-20,7.595925356401007e-20,7.200169796186399e-20,6.831443116214373e-20,6.487426625722708e-20,6.166152486966166e-20,5.865767431943638e-20,5.58454623329267e-20,5.321026214515322e-20,5.073849453339196e-20,4.841734499578739e-20,4.623553839107456e-20,4.418305045102e-20,4.225030490745226e-20,4.0428466505382327e-20,3.871000241762266e-20,3.708766530377964e-20,3.555456943827277e-20,3.410485706206797e-20,3.273300047919067e-20
