1.2285479743118105e-19,3.001039447250656e-19,5.980017475640949e-19,9.798463869033172e-19,1.0956651986058e-18,8.885887343597798e-19,6.232206955724594e-19,4.510747712335131e-19,3.369430481970119e-19,2.583101876321062e-19,2.023722500421484e-19,1.6149034040496082e-19,1.309219316530865e-19,1.0760993176619519e-19,8.952145356511954e-20,7.527009583365317e-20,6.389107834332675e-20,5.469561038206289e-20,4.718357761846593e-20,4.0986497394926486e-20,3.582917969672456e-20,3.150229349202576e-20,2.784492054742311e-20,2.4732548175430312e-20,2.2067396814173955e-20,1.9771876714590345e-20,1.7783954259931406e-20,1.605389975969523e-20,1.454121944468514e-20,1.321276220317017e-20,1.2041304717237261e-20,1.1004372470693186e-20,1.0083186171694854e-20,9.2619931771666e-21,8.527613979542411e-21,7.868883418433223e-21,7.276294597833938e-21,6.741731350651631e-21,6.258285431896911e-21,5.8199896322670324e-21
0,0,3.3904628684427024e-25,3.41136126840903e-20,2.9303194229674347e-19,7.964124054412112e-19,1.076961395627814e-18,9.01266423214384e-19,6.738609119448655e-19,5.166010681444414e-19,4.0472937398607474e-19,3.229686103864799e-19,2.6183407768587577e-19,2.152118203426881e-19,1.790362159445685e-19,1.5053456568418597e-19,1.2777738121607227e-19,1.093871325990005e-19,9.436362855069213e-20,8.196993129777219e-20,7.165568137958509e-20,6.300223237868701e-20,5.568775985592585e-20,4.94632477428973e-20,4.413314422428363e-20,3.9542275601320624e-20,3.5566579277148676e-20,3.2106599587756745e-20,2.9081352021415096e-20,2.642453683250633e-20,2.408170941998224e-20,2.2007922431290106e-20,2.016561868638193e-20,1.8523294076520897e-20,1.705459057166324e-20,1.5737178685558836e-20,1.4552045336780326e-20,1.3482958797776095e-20,1.2516103094916793e-20,1.1639544255609616e-20
0,0,0,0,0,1.6370487037758112e-20,2.829537386661706e-19,8.373745953102154e-19,9.796433259243073e-19,7.748708874162235e-19,6.070699975717361e-19,4.844337133034807e-19,3.9273554903981685e-19,3.228049349769699e-19,2.685436792202326e-19,2.2579289841094005e-19,1.9165847474967977e-19,1.640741952264112e-19,1.4153983238463902e-19,1.2295002337934102e-19,1.0747926174145811e-19,9.449960273567743e-20,8.352832883751968e-20,7.419193074976563e-20,6.619709237607933e-20,5.9311062394252e-20,5.334775428520414e-20,4.815799046611034e-20,4.3620298984354646e-20,3.963523416339879e-20,3.612113233870411e-20,3.301057515381111e-20,3.024722907163056e-20,2.778383980215134e-20,2.558087186743895e-20,2.360483236573011e-20,2.182720280531696e-20,2.0223636559938377e-20,1.8773410490586636e-20,1.7458624347913434e-20
0,0,0,0,0,0,2.252826145308209e-25,5.847299644281419e-20,5.064003849460074e-19,9.25370548215465e-19,8.093941217204303e-19,6.458856498911463e-19,5.236263463109303e-19,4.303892761589337e-19,3.5804384379965747e-19,3.010450943565817e-19,2.555343592350127e-19,2.187567985132962e-19,1.8871218933510928e-19,1.6392677382622358e-19,1.4329992094545565e-19,1.2599440470641087e-19,1.113666276189683e-19,9.891859730862995e-20,8.825924137002265e-20,7.907823718339575e-20,7.112747936505907e-20,6.420807246784123e-20,5.815806039970254e-20,5.2844854255998485e-20,4.815957352822078e-20,4.4012330688353484e-20,4.0328017373344337e-20,3.7043630396223037e-20,3.4106457905691416e-20,3.1471844494770035e-20,2.910176703656909e-20,2.6963764667830142e-20,2.5030207647397216e-20,2.3277229935673924e-20
0,0,0,0,0,0,0,0,6.710595483309496e-21,2.776615615548102e-19,8.171393303265861e-19,8.0698110543329555e-19,6.545064700959249e-19,5.379648443790381e-19,4.475367100908589e-19,3.7629115386417296e-19,3.1940503496327027e-19,2.734349427089441e-19,2.3588069961715366e-19,2.049001828252259e-19,1.791176591548779e-19,1.574866384344668e-19,1.3920265632718177e-19,1.2364324753221492e-19,1.1031959130669114e-19,9.884380005886706e-20,8.89057545977682e-20,8.025684566611898e-20,7.269463633373394e-20,6.605339717052582e-20,6.019703304341347e-20,5.501318908507236e-20,5.0407983637479863e-20,4.6302665900949827e-20,4.2631348725287347e-20,3.9338215108543e-20,3.6375738063700226e-20,3.3703343152178476e-20,3.1286494593872214e-20,2.9095361045417113e-20
0,0,0,0,0,0,0,0,0,1.816109603066917e-22,1.579292675429708e-19,7.1437809473307205e-19,7.841797605037718e-19,6.455316401274007e-19,5.370222785015694e-19,4.515310772765369e-19,3.8327050222544934e-19,3.2810862806247035e-19,2.8304536344567335e-19,2.4587025056302406e-19,2.1493247653291166e-19,1.889763040633248e-19,1.6703641508898189e-19,1.483658815331668e-19,1.3237814228659244e-19,1.1860775111071843e-19,1.0668258006432991e-19,9.630431013406232e-20,8.723002685267797e-20,7.926086296715936e-20,7.22335109391252e-20,6.601315039408798e-20,6.048712790996176e-20,5.556094635851611e-20,5.115554436506637e-20,4.7203944242888417e-20,4.364911591985079e-20,4.04423720436891e-20,3.754227135851546e-20,3.491301770365059e-20
0,0,0,0,0,0,0,0,0,0,0,1.056080914048634e-19,6.465084273109241e-19,7.51770555253901e-19,6.265005494395605e-19,5.267648649365305e-19,4.471307613125749e-19,3.827778548230142e-19,3.3020618103559033e-19,2.8683697722631225e-19,2.507443732427593e-19,2.2046340173647826e-19,1.948679040312027e-19,1.7308649942414282e-19,1.5443489441024393e-19,1.383700904290111e-19,1.2445795584575038e-19,1.1235046594479703e-19,1.0176423202277008e-19,9.246725170608343e-20,8.426900727020432e-20,7.701221466552547e-20,7.056545023671913e-20,6.481847181111047e-20,5.967904486387193e-20,5.506903193364918e-20,5.0921900638164444e-20,4.718085137307072e-20,4.3797537969833536e-20,4.073019993688451e-20
0,0,0,0,0,0,0,0,0,0,0,0,8.880625220988349e-20,6.171010990123651e-19,7.15215638751149e-19,6.019925171871363e-19,5.109858125157787e-19,4.374426232398071e-19,3.7736315260190575e-19,3.278003630018534e-19,2.865533494476837e-19,2.519479315974737e-19,2.22697123280725e-19,1.9780510131784158e-19,1.7648984777820002e-19,1.581308181038394e-19,1.422318820230657e-19,1.2839531317147581e-19,1.1629725191027016e-19,1.0567256344750456e-19,9.630352209151938e-20,8.801038194952834e-20,8.064295066369797e-20,7.407524230093695e-20,6.820185026056176e-20,6.29334782166814e-20,5.819409225179702e-20,5.391878117104336e-20,5.005229445634356e-20,4.654690777163879e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,9.487140669523568e-20,6.176710365168644e-19,6.771845246563192e-19,5.748356561259933e-19,4.921029335619086e-19,4.245162783594731e-19,3.687604080762821e-19,3.2235940531083504e-19,2.8342989378975857e-19,2.505240729643425e-19,2.2252168732688435e-19,1.9854300249094595e-19,1.7788993422523602e-19,1.6000435867725615e-19,1.4443885188720112e-19,1.3082908658139264e-19,1.1887679825158786e-19,1.083370554579012e-19,9.900765229620576e-20,9.07196292368127e-20,8.333125787017066e-20,7.672396059396694e-20,7.079728312781653e-20,6.546569079388159e-20,6.06561614683059e-20,5.630654084654301e-20,5.23631412344151e-20
0,0,0,0,0,0,0,0,0,0,0,0,0,6.699969309667103e-24,1.2337831900129045e-19,6.326058378412736e-19,6.386802924341879e-19,5.467587860384108e-19,4.716655585231732e-19,4.0971711263625713e-19,3.581625409953849e-19,3.1490928845679913e-19,2.7834875320886495e-19,2.472362575639067e-19,2.2059435864897987e-19,1.9764743888324474e-19,1.777753858893126e-19,1.604810821650848e-19,1.4535973610236033e-19,1.3207995617850628e-19,1.2036960742418772e-19,1.1000402575567323e-19,1.0079548600198363e-19,9.258651856099203e-20,8.524537590292338e-20,7.86604467028906e-20,7.273669629755549e-20,6.73929922955612e-20,6.256027716893306e-20,5.817890035171855e-20
