4.2295874215624667e-19,1.5778481344674119e-18,1.9842539329655797e-18,1.0742954668059725e-18,5.952532358291181e-19,3.6386259044710917e-19,2.385318634192817e-19,1.6479154939877268e-19,1.1858668872538965e-19,8.817007501339242e-20,6.733147318875033e-20,5.257746872285341e-20,4.1839273528764307e-20,3.383785401962664e-20,2.775398164785531e-20,2.3045677187930444e-20,1.9345179348861455e-20,1.639649739797563e-20,1.401802594848557e-20,1.2078275064163943e-20
0,3.411395173037714e-20,1.0894443477379548e-18,1.978227818842198e-18,1.1904619800893068e-18,7.276979843725546e-19,4.770458980285639e-19,3.2957078162875447e-19,2.3716451381507276e-19,1.763335598484643e-19,1.346579137582721e-19,1.0515100759882315e-19,8.367541982560427e-20,6.767317886490541e-20,5.550588885392142e-20,4.608963185127235e-20,3.8688912762902826e-20,3.2791769257222076e-20,2.803500413455642e-20,2.415564735052641e-20
0,0,1.6370487037758112e-20,1.120328333976386e-18,1.754514213340531e-18,1.0915037108752166e-18,7.155404840167868e-19,4.943365776311727e-19,3.5573266997609097e-19,2.6448985576398004e-19,2.0197886447713553e-19,1.577202595872853e-19,1.2550815477033134e-19,1.0150574475131448e-19,8.325553314775344e-20,6.913170749251522e-20,5.803106887378189e-20,4.918570423316906e-20,4.205083936525534e-20,3.6232034838500064e-20
0,0,0,5.847322172542871e-20,1.431770933161472e-18,1.4552797716115765e-18,9.54015622469864e-19,6.590889381562392e-19,4.742911577483089e-19,3.5263896316133292e-19,2.692943256518665e-19,2.1028522492759827e-19,1.673374785534184e-19,1.3533555183290031e-19,1.11002914655701e-19,9.217190421657427e-20,7.737164776956736e-20,6.557830240046146e-20,5.606553170439924e-20,4.830743758307114e-20
0,0,0,0,2.8437215703811973e-19,1.6241204357598815e-18,1.192471314474963e-18,8.238278639550319e-19,5.928399776722144e-19,4.4078088244237955e-19,3.3660429758934465e-19,2.628459038593967e-19,2.0916339136555822e-19,1.691626002638872e-19,1.387480335042598e-19,1.1521022212848582e-19,9.671064953842966e-20,8.196956383383033e-20,7.00790812158787e-20,6.038185563928933e-20
0,0,0,0,1.816109603066917e-22,8.723073622760426e-19,1.4297114006311724e-18,9.885533557781063e-19,7.113791302879196e-19,5.289156140086974e-19,4.039087805962364e-19,3.154022966221487e-19,2.5098589339731085e-19,2.0298689019839224e-19,1.664908898198373e-19,1.382466613332132e-19,1.1604807426847787e-19,9.835948860795479e-20,8.409148796353988e-20,7.245528906216605e-20
0,0,0,0,0,1.056080914048634e-19,1.398278982564825e-18,1.1532654143760913e-18,8.299086161355892e-19,6.170431582619025e-19,4.712077749792376e-19,3.6795440345534556e-19,2.92804984839255e-19,2.368084217905474e-19,1.942314837288535e-19,1.612812219357298e-19,1.353839220478296e-19,1.1474807679752113e-19,9.810275201123515e-20,8.452773790671806e-20
0,0,0,0,0,0,7.059073512222486e-19,1.317208155938285e-18,9.484284357555857e-19,7.051635156037591e-19,5.385012810451574e-19,4.2050222459856658e-19,3.3462066588203943e-19,2.7062719519454147e-19,2.219698153577747e-19,1.8431390404104774e-19,1.5471819296463494e-19,1.3113532847724316e-19,1.121128734228404e-19,9.659920222798233e-20
0,0,0,0,0,0,9.487140669523568e-20,1.2948555611731835e-18,1.066938589687902e-18,7.9327668643575525e-19,6.057892991005937e-19,4.730457602912268e-19,3.76432936716182e-19,3.044432105644573e-19,2.4970588483298053e-19,2.0734470775410699e-19,1.7405088710698333e-19,1.4752124372178345e-19,1.2612185226218751e-19,1.086696820809581e-19
0,0,0,0,0,0,6.699969309667103e-24,7.55984156842564e-19,1.1854390784725988e-18,8.813826711594303e-19,6.7307182945218395e-19,5.255850107727716e-19,4.1824179753222466e-19,3.382564680543974e-19,2.7743969228086657e-19,2.3037363317986095e-19,1.9338200456297564e-19,1.6390582260581402e-19,1.401296885931167e-19,1.2073917752065161e-19
