2.0008068766236584e-18,3.0585493997715524e-18,9.591158262762272e-19,4.0332341281805444e-19,2.0675676373878203e-19,1.1990894191160372e-19,7.567712754839095e-20,5.0799658835785773e-20,3.5741676746837086e-20,2.6096301012649517e-20
3.411395173037714e-20,3.0676721665801524e-18,1.9181599644618615e-18,8.066166796573184e-19,4.134980736635371e-19,2.3980892135709526e-19,1.5134859869050973e-19,1.0159552070519378e-19,7.148068202012491e-20,5.2190651485082826e-20
0,1.1366988210141442e-18,2.846017924215748e-18,1.2098770616479597e-18,6.202225257400708e-19,3.5969912406442083e-19,2.270138995216458e-19,1.5238724064026865e-19,1.0721677310695095e-19,7.82828742037554e-20
0,5.847322172542871e-20,2.887050704773049e-18,1.6131045606261032e-18,8.269301209096417e-19,4.795795505794647e-19,3.0267303038631865e-19,2.031748188722753e-19,1.4294995017002884e-19,1.0437296928747036e-19
0,0,1.9084925927980013e-18,2.0162991784299952e-18,1.0336208601145938e-18,5.994502014487414e-19,3.783259916294454e-19,2.5395825563274557e-19,1.7868021337226e-19,1.3046093685516803e-19
0,0,8.724889732363493e-19,2.4182647564092787e-18,1.240294744296617e-18,7.193110772183851e-19,4.53972783595703e-19,3.0473755115305046e-19,2.1440756287643264e-19,1.5654677702570588e-19
0,0,1.056080914048634e-19,2.551544396940916e-18,1.446951774397492e-18,8.39162178434583e-19,5.296134066298025e-19,3.5551270566458317e-19,2.5013199884535073e-19,1.8263048991795322e-19
0,0,0,2.023115507160534e-18,1.6535919513593445e-18,9.59003505643724e-19,6.052478610765809e-19,4.0628371939882236e-19,2.858535214418781e-19,2.087120756508227e-19
0,0,0,1.3897269678684193e-18,1.8602152761236575e-18,1.0788350593918205e-18,6.808761472806391e-19,4.570505925870875e-19,3.215721308287668e-19,2.3479153434314565e-19
0,0,0,7.559908568118738e-19,2.0668217496320293e-18,1.1986568402249558e-18,7.564982655866221e-19,5.078133254607276e-19,3.5728782716878966e-19,2.608688661137683e-19
0,0,0,1.8072811971771537e-19,2.215084528312392e-18,1.3184688486898796e-18,8.321142163395953e-19,5.585719182513744e-19,3.9300061062491844e-19,2.8694407108168234e-19
0,0,0,1.4048291793539616e-21,1.9675561788433104e-18,1.4382710853319207e-18,9.077239998837272e-19,6.093263711900572e-19,4.287104813597009e-19,3.1301714936556995e-19
0,0,0,0,1.541586688710992e-18,1.5580635506975943e-18,9.833276165639361e-19,6.600766845083087e-19,4.644174395360389e-19,3.3908810108437165e-19
0,0,0,0,1.1153605479776577e-18,1.6778462453329735e-18,1.0589250667248592e-18,7.108228584374734e-19,5.001214853167022e-19,3.651569263569314e-19
0,0,0,0,6.878327302077354e-19,1.797619169783962e-18,1.1345163507110298e-18,7.615648932088247e-19,5.358226188644106e-19,3.91223625302057e-19
0,0,0,0,2.6696602799855664e-19,1.911769250504437e-18,1.2101014688669084e-18,8.123027890535891e-19,5.715208403418501e-19,4.1728819803853148e-19
0,0,0,0,1.8468157129643203e-20,1.853264268978123e-18,1.2856804215373207e-18,8.630365462032361e-19,6.07216149911879e-19,4.433506446852634e-19
0,0,0,0,0,1.5646571187106184e-18,1.3612532090666225e-18,9.137661648889218e-19,6.42908547737134e-19,4.694109653609997e-19
0,0,0,0,0,1.2576603951956544e-18,1.4368198317994974e-18,9.644916453420205e-19,6.785980339804053e-19,4.954691601846e-19
0,0,0,0,0,9.507514739229147e-19,1.5123802900805687e-18,1.0152129877938676e-18,7.142846088044567e-19,5.215252292749037e-19
0,0,0,0,0,6.438423313953962e-19,1.587934584254257e-18,1.0659301924756618e-18,7.499682723719546e-19,5.475791727506794e-19
0,0,0,0,0,3.3680556118156546e-19,1.6634570674677785e-18,1.1166432596186942e-18,7.856490248456317e-19,5.736309907307443e-19
0,0,0,0,0,7.057639702202796e-20,1.6981228835201795e-18,1.1673521894539545e-18,8.213268663880077e-19,5.996806833337597e-19
0,0,0,0,0,4.674125919872347e-22,1.5376192421015243e-18,1.2180569822129797e-18,8.570017971619873e-19,6.257282506786686e-19
0,0,0,0,0,0,1.3061013220360464e-18,1.2687576381269966e-18,8.926738173302576e-19,6.5177369288425485e-19
0,0,0,0,0,0,2.2544050250158944e-18,3.393682318980969e-18,2.3877305321788406e-18,1.743369096704367e-18
0,0,0,0,0,0,8.117102341904264e-19,3.707564194578724e-18,2.6106169971797575e-18,1.9061066292356013e-18
0,0,0,0,0,0,1.2571891755801636e-20,3.378114842822046e-18,2.833457997308402e-18,2.068810966206351e-18
0,0,0,0,0,0,0,2.2631573518754472e-18,3.056253538917341e-18,2.231482112254855e-18
0,0,0,0,0,0,0,1.2911627906504874e-18,6.632572917754508e-18,4.950844922155098e-18
0,0,0,0,0,0,0,0,5.176253961987328e-18,1.6696824561373378e-17
