MeV,fissionMeV
0.41016767800381904, 0.0034129692832784997
0.4846791882769422, 0.378839590443687
0.5504851344371621, 0.7542662116040955
0.6077848643653896, 1.027303754266212
0.6616231558112554, 1.327303754266212
0.7101139477524895, 1.5221843003412978
0.755717201866855, 1.7440273037542662
0.7997112123250556, 1.8805460750853245
0.8391140263802231, 1.9829351535836182
0.877970820797296, 2.0511945392491473
0.9160316732407364, 1.9488054607508536
0.9530423603748547, 1.8976109215017063
0.9887471041908827, 1.8634812286689426
1.0200016094211994, 1.8464163822525599
1.0522440761768153, 1.829351535836178
1.0855057341306462, 1.7098976109215025
1.1166551173642303, 1.5392491467576797
1.1454530824664748, 1.4027303754266223
1.1749937323790374, 1.3003412969283286
1.2018910492246544, 1.2320819112627994
1.2294040848043861, 1.1979522184300349
1.2611097881860376, 1.1979522184300349
1.2826998964153122, 1.2320819112627994
1.3120627641319487, 1.266211604095563
1.3689419064442285, 1.2491467576791813
1.4404610116861356, 1.266211604095563
1.4902043755393721, 1.3174061433447104
1.5460333372669801, 1.2491467576791813
1.649980506008661, 0.9931740614334483
1.983096801566975, 0.9931740614334483
2, 0.9931740614334483
