MeV,fissionMeV
0.41132975606596306, 6.999999999999999
0.4846791882769422, 6.556313993174061
0.5504851344371621, 6.0784982935153575
0.6077848643653896, 5.617747440273037
0.6616231558112554, 5.242320819112628
0.7101139477524895, 4.8668941979522184
0.755717201866855, 4.593856655290102
0.7997112123250556, 4.474402730375426
0.8391140263802231, 4.354948805460751
0.8804582684553282, 4.235494880546075
0.9160316732407364, 4.081911262798635
0.9530423603748547, 3.945392491467577
0.9859537217481004, 3.7918088737201368
1.0200016094211994, 3.706484641638225
1.0522440761768153, 3.6552901023890785
1.0855057341306462, 3.5870307167235493
1.1135003725500434, 3.5529010238907848
1.1454530824664748, 3.450511945392491
1.1749937323790374, 3.3310580204778155
1.2018910492246544, 3.228668941979522
1.2294040848043861, 3.143344709897611
1.2575469338162923, 3.0238907849829353
1.2826998964153122, 2.8532423208191133
1.3083559587480238, 2.6825938566552905
1.3728203626053055, 2.4607508532423212
1.4323334033747261, 2.1877133105802047
1.4902043755393721, 1.8976109215017063
1.5460333372669801, 1.7440273037542662
1.649980506008661, 1.7098976109215025
1.983096801566975, 1.7098976109215025
2, 1.7098976109215025
